"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,346;-0,656;0,346;-0,538
0,348;-0,648;0,348;-0,545
0,350;-0,650;0,350;-0,534
0,352;-0,652;0,352;-0,547
0,354;-0,663;0,354;-0,548
0,356;-0,654;0,356;-0,543
0,358;-0,657;0,358;-0,552
0,360;-0,656;0,360;-0,559
0,362;-0,656;0,362;-0,552
0,364;-0,650;0,364;-0,548
0,366;-0,654;0,366;-0,550
0,368;-0,652;0,368;-0,543
0,370;-0,652;0,370;-0,545
0,372;-0,657;0,372;-0,548
0,374;-0,656;0,374;-0,543
0,376;-0,657;0,376;-0,547
0,378;-0,654;0,378;-0,548
0,380;-0,654;0,380;-0,541
0,382;-0,654;0,382;-0,538
0,384;-0,652;0,384;-0,547
0,386;-0,656;0,386;-0,539
0,388;-0,647;0,388;-0,534
0,390;-0,648;0,390;-0,536
0,392;-0,650;0,392;-0,530
0,394;-0,650;0,394;-0,534
0,396;-0,654;0,396;-0,527
0,398;-0,652;0,398;-0,520
0,400;-0,654;0,400;-0,529
0,402;-0,656;0,402;-0,525
0,404;-0,657;0,404;-0,518
0,406;-0,650;0,406;-0,530
0,408;-0,652;0,408;-0,529
0,410;-0,654;0,410;-0,536
0,412;-0,657;0,412;-0,545
0,414;-0,654;0,414;-0,545
0,416;-0,656;0,416;-0,550
0,418;-0,657;0,418;-0,559
0,420;-0,654;0,420;-0,550
0,422;-0,654;0,422;-0,543
0,424;-0,654;0,424;-0,539
0,426;-0,647;0,426;-0,539
0,428;-0,652;0,428;-0,532
0,430;-0,657;0,430;-0,534
0,432;-0,654;0,432;-0,538
0,434;-0,648;0,434;-0,534
0,436;-0,650;0,436;-0,523
0,438;-0,648;0,438;-0,529
0,440;-0,650;0,440;-0,530
0,442;-0,652;0,442;-0,527
0,444;-0,654;0,444;-0,534
0,446;-0,652;0,446;-0,539
0,448;-0,647;0,448;-0,541
0,450;-0,645;0,450;-0,547
0,452;-0,650;0,452;-0,554
0,454;-0,656;0,454;-0,545
0,456;-0,647;0,456;-0,548
0,458;-0,652;0,458;-0,543
0,460;-0,643;0,460;-0,541
0,462;-0,654;0,462;-0,543
0,464;-0,652;0,464;-0,538
