"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Fuerza (N) Serie Nº 3"
0,346;-0,666;0,346;-0,516
0,348;-0,663;0,348;-0,521
0,350;-0,666;0,350;-0,509
0,352;-0,670;0,352;-0,511
0,354;-0,670;0,354;-0,513
0,356;-0,665;0,356;-0,521
0,358;-0,670;0,358;-0,516
0,360;-0,668;0,360;-0,520
0,362;-0,668;0,362;-0,518
0,364;-0,670;0,364;-0,523
0,366;-0,674;0,366;-0,518
0,368;-0,674;0,368;-0,505
0,370;-0,666;0,370;-0,514
0,372;-0,661;0,372;-0,513
0,374;-0,670;0,374;-0,527
0,376;-0,666;0,376;-0,518
0,378;-0,670;0,378;-0,514
0,380;-0,665;0,380;-0,511
0,382;-0,668;0,382;-0,518
0,384;-0,670;0,384;-0,513
0,386;-0,665;0,386;-0,523
0,388;-0,661;0,388;-0,516
0,390;-0,659;0,390;-0,507
0,392;-0,657;0,392;-0,509
0,394;-0,668;0,394;-0,509
0,396;-0,659;0,396;-0,507
0,398;-0,659;0,398;-0,518
0,400;-0,661;0,400;-0,516
0,402;-0,666;0,402;-0,509
0,404;-0,666;0,404;-0,514
0,406;-0,663;0,406;-0,514
0,408;-0,668;0,408;-0,513
0,410;-0,665;0,410;-0,513
0,412;-0,663;0,412;-0,505
0,414;-0,663;0,414;-0,509
0,416;-0,659;0,416;-0,504
0,418;-0,656;0,418;-0,502
0,420;-0,661;0,420;-0,509
0,422;-0,663;0,422;-0,504
0,424;-0,654;0,424;-0,513
0,426;-0,665;0,426;-0,505
0,428;-0,663;0,428;-0,504
0,430;-0,665;0,430;-0,513
0,432;-0,663;0,432;-0,504
0,434;-0,666;0,434;-0,511
0,436;-0,666;0,436;-0,507
0,438;-0,663;0,438;-0,509
0,440;-0,663;0,440;-0,509
0,442;-0,665;0,442;-0,511
0,444;-0,661;0,444;-0,507
0,446;-0,657;0,446;-0,513
0,448;-0,665;0,448;-0,514
0,450;-0,661;0,450;-0,514
0,452;-0,659;0,452;-0,511
0,454;-0,657;0,454;-0,514
0,456;-0,657;0,456;-0,513
0,458;-0,661;0,458;-0,511
0,460;-0,661;0,460;-0,507
0,462;-0,659;0,462;-0,514
0,464;-0,666;0,464;-0,514
0,466;-0,657;0,466;-0,516
0,468;-0,672;0,468;-0,516
0,470;-0,661;0,470;-0,516
0,472;-0,668;0,472;-0,514
0,474;-0,665;0,474;-0,516
0,476;-0,665;0,476;-0,516
0,478;-0,661;0,478;-0,509
0,480;-0,659;0,480;-0,518
0,482;-0,659;0,482;-0,514
0,484;-0,665;0,484;-0,511
0,486;-0,659;0,486;-0,511
0,488;-0,670;0,488;-0,520
0,490;-0,665;0,490;-0,514
0,492;-0,665;0,492;-0,514
0,494;-0,663;0,494;-0,518
0,496;-0,665;0,496;-0,516
0,498;-0,665;0,498;-0,516
0,500;-0,665;0,500;-0,520
0,502;-0,666;0,502;-0,518
0,504;-0,668;0,504;-0,521
0,506;-0,666;0,506;-0,521
0,508;-0,670;0,508;-0,520
0,510;-0,665;0,510;-0,527
0,512;-0,661;0,512;-0,521
0,514;-0,663;0,514;-0,516
0,516;-0,656;0,516;-0,514
0,518;-0,665;0,518;-0,518
0,520;-0,666;0,520;-0,516
0,522;-0,663;0,522;-0,518
0,524;-0,665;0,524;-0,518
0,526;-0,666;0,526;-0,514
0,528;-0,663;0,528;-0,514
0,530;-0,666;0,530;-0,500
0,532;-0,665;0,532;-0,511
0,534;-0,665;0,534;-0,511
0,536;-0,666;0,536;-0,514
0,538;-0,665;0,538;-0,513
0,540;-0,666;0,540;-0,516
0,542;-0,663;0,542;-0,513
0,544;-0,666;0,544;-0,511
0,546;-0,663;0,546;-0,511
0,548;-0,666;0,548;-0,505
0,550;-0,661;0,550;-0,511
0,552;-0,665;0,552;-0,498
0,554;-0,665;0,554;-0,513
0,556;-0,663;0,556;-0,516
0,558;-0,663;0,558;-0,511
0,560;-0,663;0,560;-0,505
0,562;-0,665;0,562;-0,509
0,564;-0,661;0,564;-0,504
0,566;-0,668;0,566;-0,507
0,568;-0,661;0,568;-0,505
0,570;-0,663;0,570;-0,509
0,572;-0,663;0,572;-0,507
0,574;-0,663;0,574;-0,507
0,576;-0,663;0,576;-0,513
0,578;-0,661;0,578;-0,509
0,580;-0,661;0,580;-0,509
0,582;-0,665;0,582;-0,514
0,584;-0,659;0,584;-0,511
0,586;-0,661;0,586;-0,525
0,588;-0,663;0,588;-0,513
0,590;-0,661;0,590;-0,520
0,592;-0,665;0,592;-0,518
0,594;-0,661;0,594;-0,518
0,596;-0,663;0,596;-0,514
0,598;-0,665;0,598;-0,518
0,600;-0,665;0,600;-0,511
0,602;-0,663;0,602;-0,518
0,604;-0,666;0,604;-0,511
0,606;-0,665;0,606;-0,516
0,608;-0,663;0,608;-0,516
0,610;-0,663;0,610;-0,516
0,612;-0,663;0,612;-0,514
0,614;-0,661;0,614;-0,514
0,616;-0,665;0,616;-0,513
0,618;-0,659;0,618;-0,507
0,620;-0,663;0,620;-0,505
0,622;-0,659;0,622;-0,505
0,624;-0,666;0,624;-0,505
0,626;-0,656;0,626;-0,520
0,628;-0,666;0,628;-0,514
0,630;-0,670;0,630;-0,520
0,632;-0,665;0,632;-0,514
0,634;-0,663;0,634;-0,521
0,636;-0,665;0,636;-0,513
0,638;-0,668;0,638;-0,511
0,640;-0,663;0,640;-0,509
0,642;-0,661;0,642;-0,507
0,644;-0,665;0,644;-0,514
0,646;-0,663;0,646;-0,514
0,648;-0,668;0,648;-0,507
0,650;-0,666;0,650;-0,520
0,652;-0,666;0,652;-0,511
0,654;-0,659;0,654;-0,516
0,656;-0,661;0,656;-0,516
0,658;-0,659;0,658;-0,514
0,660;-0,661;0,660;-0,520
0,662;-0,663;0,662;-0,518
0,664;-0,663;0,664;-0,518
0,666;-0,659;0,666;-0,521
0,668;-0,661;0,668;-0,518
0,670;-0,665;0,670;-0,518
0,672;-0,665;0,672;-0,513
0,674;-0,665;0,674;-0,509
0,676;-0,665;0,676;-0,514
0,678;-0,672;0,678;-0,507
0,680;-0,665;0,680;-0,514
0,682;-0,666;0,682;-0,509
0,684;-0,674;0,684;-0,509
0,686;-0,668;0,686;-0,502
0,688;-0,666;0,688;-0,505
0,690;-0,665;0,690;-0,502
0,692;-0,666;0,692;-0,502
0,694;-0,659;0,694;-0,502
0,696;-0,659;0,696;-0,498
0,698;-0,668;0,698;-0,502
0,700;-0,661;0,700;-0,504
0,702;-0,665;0,702;-0,509
0,704;-0,663;0,704;-0,502
0,706;-0,666;0,706;-0,498
0,708;-0,661;0,708;-0,509
0,710;-0,663;0,710;-0,507
0,712;-0,665;0,712;-0,511
0,714;-0,657;0,714;-0,509
0,716;-0,659;0,716;-0,513
0,718;-0,661;0,718;-0,520
0,720;-0,659;0,720;-0,518
0,722;-0,668;0,722;-0,514
0,724;-0,663;0,724;-0,518
0,726;-0,674;0,726;-0,516
0,728;-0,668;0,728;-0,516
0,730;-0,661;0,730;-0,513
0,732;-0,668;0,732;-0,516
0,734;-0,661;0,734;-0,518
0,736;-0,672;0,736;-0,520
0,738;-0,665;0,738;-0,516
0,740;-0,666;0,740;-0,518
0,742;-0,666;0,742;-0,513
0,744;-0,665;0,744;-0,518
0,746;-0,666;0,746;-0,514
0,748;-0,661;0,748;-0,513
0,750;-0,659;0,750;-0,518
0,752;-0,663;0,752;-0,507
0,754;-0,666;0,754;-0,509
0,756;-0,665;0,756;-0,516
0,758;-0,663;0,758;-0,518
0,760;-0,666;0,760;-0,509
0,762;-0,666;0,762;-0,509
0,764;-0,663;0,764;-0,513
0,766;-0,666;0,766;-0,513
0,768;-0,665;0,768;-0,509
0,770;-0,661;0,770;-0,513
0,772;-0,663;0,772;-0,513
0,774;-0,665;0,774;-0,513
0,776;-0,674;0,776;-0,514
0,778;-0,665;0,778;-0,514
0,780;-0,672;0,780;-0,514
0,782;-0,665;0,782;-0,514
0,784;-0,670;0,784;-0,520
0,786;-0,670;0,786;-0,511
0,788;-0,663;0,788;-0,514
0,790;-0,665;0,790;-0,521
0,792;-0,668;0,792;-0,513
