"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,346;-0,647;0,346;-0,573
0,348;-0,650;0,348;-0,563
0,350;-0,654;0,350;-0,566
0,352;-0,652;0,352;-0,575
0,354;-0,659;0,354;-0,579
0,356;-0,659;0,356;-0,575
0,358;-0,648;0,358;-0,579
0,360;-0,638;0,360;-0,575
0,362;-0,634;0,362;-0,572
0,364;-0,631;0,364;-0,575
0,366;-0,632;0,366;-0,577
0,368;-0,632;0,368;-0,570
0,370;-0,636;0,370;-0,572
0,372;-0,631;0,372;-0,573
0,374;-0,631;0,374;-0,568
0,376;-0,634;0,376;-0,575
0,378;-0,640;0,378;-0,577
0,380;-0,645;0,380;-0,575
0,382;-0,648;0,382;-0,577
0,384;-0,654;0,384;-0,572
0,386;-0,661;0,386;-0,572
0,388;-0,656;0,388;-0,572
0,390;-0,657;0,390;-0,575
0,392;-0,652;0,392;-0,566
0,394;-0,643;0,394;-0,568
0,396;-0,641;0,396;-0,568
0,398;-0,629;0,398;-0,570
0,400;-0,622;0,400;-0,570
0,402;-0,620;0,402;-0,570
0,404;-0,618;0,404;-0,572
0,406;-0,623;0,406;-0,570
0,408;-0,623;0,408;-0,581
0,410;-0,632;0,410;-0,586
0,412;-0,640;0,412;-0,581
0,414;-0,632;0,414;-0,588
0,416;-0,636;0,416;-0,586
0,418;-0,647;0,418;-0,584
0,420;-0,648;0,420;-0,581
0,422;-0,654;0,422;-0,581
0,424;-0,656;0,424;-0,579
0,426;-0,648;0,426;-0,577
0,428;-0,645;0,428;-0,572
0,430;-0,640;0,430;-0,573
0,432;-0,623;0,432;-0,577
0,434;-0,627;0,434;-0,577
0,436;-0,625;0,436;-0,570
0,438;-0,613;0,438;-0,582
0,440;-0,622;0,440;-0,584
0,442;-0,629;0,442;-0,593
0,444;-0,634;0,444;-0,593
0,446;-0,638;0,446;-0,597
0,448;-0,640;0,448;-0,591
0,450;-0,638;0,450;-0,595
0,452;-0,634;0,452;-0,589
0,454;-0,641;0,454;-0,582
0,456;-0,645;0,456;-0,577
0,458;-0,647;0,458;-0,572
0,460;-0,657;0,460;-0,561
0,462;-0,650;0,462;-0,555
0,464;-0,650;0,464;-0,557
0,466;-0,641;0,466;-0,566
0,468;-0,636;0,468;-0,572
0,470;-0,622;0,470;-0,573
0,472;-0,625;0,472;-0,584
0,474;-0,623;0,474;-0,588
0,476;-0,620;0,476;-0,584
0,478;-0,622;0,478;-0,588
0,480;-0,632;0,480;-0,591
0,482;-0,627;0,482;-0,591
0,484;-0,632;0,484;-0,586
0,486;-0,641;0,486;-0,581
0,488;-0,647;0,488;-0,575
0,490;-0,648;0,490;-0,564
0,492;-0,656;0,492;-0,568
0,494;-0,656;0,494;-0,568
0,496;-0,656;0,496;-0,563
0,498;-0,666;0,498;-0,570
0,500;-0,657;0,500;-0,568
0,502;-0,647;0,502;-0,566
0,504;-0,634;0,504;-0,577
0,506;-0,636;0,506;-0,581
0,508;-0,625;0,508;-0,582
0,510;-0,625;0,510;-0,577
0,512;-0,625;0,512;-0,581
0,514;-0,627;0,514;-0,581
0,516;-0,629;0,516;-0,582
0,518;-0,638;0,518;-0,579
0,520;-0,640;0,520;-0,582
0,522;-0,641;0,522;-0,579
0,524;-0,647;0,524;-0,572
0,526;-0,645;0,526;-0,575
0,528;-0,654;0,528;-0,573
0,530;-0,659;0,530;-0,575
0,532;-0,647;0,532;-0,572
0,534;-0,648;0,534;-0,570
0,536;-0,641;0,536;-0,570
0,538;-0,636;0,538;-0,573
0,540;-0,629;0,540;-0,573
0,542;-0,616;0,542;-0,579
0,544;-0,620;0,544;-0,573
0,546;-0,609;0,546;-0,582
0,548;-0,622;0,548;-0,588
0,550;-0,625;0,550;-0,589
0,552;-0,632;0,552;-0,588
0,554;-0,636;0,554;-0,584
0,556;-0,638;0,556;-0,584
0,558;-0,647;0,558;-0,584
0,560;-0,645;0,560;-0,582
0,562;-0,648;0,562;-0,577
0,564;-0,647;0,564;-0,579
0,566;-0,652;0,566;-0,568
0,568;-0,643;0,568;-0,561
0,570;-0,643;0,570;-0,563
0,572;-0,640;0,572;-0,563
0,574;-0,623;0,574;-0,572
0,576;-0,623;0,576;-0,575
0,578;-0,627;0,578;-0,579
0,580;-0,614;0,580;-0,582
0,582;-0,614;0,582;-0,582
0,584;-0,618;0,584;-0,589
0,586;-0,627;0,586;-0,593
0,588;-0,634;0,588;-0,589
0,590;-0,632;0,590;-0,589
0,592;-0,640;0,592;-0,586
0,594;-0,643;0,594;-0,586
0,596;-0,648;0,596;-0,582
0,598;-0,654;0,598;-0,573
0,600;-0,648;0,600;-0,581
0,602;-0,648;0,602;-0,572
0,604;-0,657;0,604;-0,570
0,606;-0,652;0,606;-0,570
0,608;-0,645;0,608;-0,573
0,610;-0,640;0,610;-0,582
0,612;-0,640;0,612;-0,572
0,614;-0,631;0,614;-0,579
0,616;-0,629;0,616;-0,577
0,618;-0,627;0,618;-0,581
0,620;-0,629;0,620;-0,588
0,622;-0,625;0,622;-0,577
0,624;-0,634;0,624;-0,575
0,626;-0,640;0,626;-0,575
0,628;-0,647;0,628;-0,579
0,630;-0,648;0,630;-0,577
0,632;-0,647;0,632;-0,573
0,634;-0,645;0,634;-0,573
0,636;-0,648;0,636;-0,568
0,638;-0,647;0,638;-0,561
0,640;-0,647;0,640;-0,563
0,642;-0,643;0,642;-0,563
0,644;-0,643;0,644;-0,554
0,646;-0,640;0,646;-0,563
0,648;-0,638;0,648;-0,572
0,650;-0,631;0,650;-0,568
0,652;-0,620;0,652;-0,572
0,654;-0,629;0,654;-0,572
0,656;-0,631;0,656;-0,577
0,658;-0,631;0,658;-0,581
0,660;-0,643;0,660;-0,584
0,662;-0,640;0,662;-0,582
0,664;-0,652;0,664;-0,573
0,666;-0,648;0,666;-0,575
0,668;-0,645;0,668;-0,579
0,670;-0,643;0,670;-0,577
0,672;-0,645;0,672;-0,575
0,674;-0,641;0,674;-0,584
0,676;-0,641;0,676;-0,582
0,678;-0,638;0,678;-0,579
0,680;-0,631;0,680;-0,575
0,682;-0,627;0,682;-0,568
0,684;-0,623;0,684;-0,572
0,686;-0,623;0,686;-0,577
0,688;-0,625;0,688;-0,570
0,690;-0,625;0,690;-0,570
0,692;-0,623;0,692;-0,573
0,694;-0,632;0,694;-0,581
0,696;-0,632;0,696;-0,573
0,698;-0,634;0,698;-0,579
0,700;-0,641;0,700;-0,582
0,702;-0,648;0,702;-0,582
0,704;-0,648;0,704;-0,589
0,706;-0,645;0,706;-0,586
0,708;-0,641;0,708;-0,586
0,710;-0,641;0,710;-0,588
0,712;-0,636;0,712;-0,581
0,714;-0,632;0,714;-0,577
0,716;-0,631;0,716;-0,572
0,718;-0,627;0,718;-0,573
0,720;-0,629;0,720;-0,568
0,722;-0,623;0,722;-0,561
0,724;-0,625;0,724;-0,566
0,726;-0,629;0,726;-0,579
0,728;-0,640;0,728;-0,582
0,730;-0,634;0,730;-0,579
0,732;-0,643;0,732;-0,584
0,734;-0,643;0,734;-0,581
0,736;-0,647;0,736;-0,581
0,738;-0,645;0,738;-0,584
0,740;-0,652;0,740;-0,582
0,742;-0,652;0,742;-0,586
0,744;-0,650;0,744;-0,588
0,746;-0,648;0,746;-0,579
0,748;-0,645;0,748;-0,572
0,750;-0,640;0,750;-0,570
0,752;-0,636;0,752;-0,568
0,754;-0,631;0,754;-0,563
0,756;-0,631;0,756;-0,561
0,758;-0,634;0,758;-0,568
0,760;-0,629;0,760;-0,573
0,762;-0,634;0,762;-0,579
0,764;-0,638;0,764;-0,584
0,766;-0,645;0,766;-0,588
0,768;-0,647;0,768;-0,584
0,770;-0,648;0,770;-0,581
0,772;-0,654;0,772;-0,575
0,774;-0,652;0,774;-0,570
0,776;-0,640;0,776;-0,568
0,778;-0,652;0,778;-0,563
0,780;-0,647;0,780;-0,564
0,782;-0,647;0,782;-0,561
0,784;-0,641;0,784;-0,561
0,786;-0,634;0,786;-0,570
0,788;-0,623;0,788;-0,568
0,790;-0,632;0,790;-0,568
0,792;-0,629;0,792;-0,577
0,794;-0,625;0,794;-0,577
0,796;-0,631;0,796;-0,581
0,798;-0,634;0,798;-0,584
0,800;-0,632;0,800;-0,579
0,802;-0,640;0,802;-0,573
0,804;-0,645;0,804;-0,570
0,806;-0,643;0,806;-0,582
0,808;-0,641;0,808;-0,570
0,810;-0,645;0,810;-0,573
0,812;-0,643;0,812;-0,573
0,814;-0,647;0,814;-0,566
0,816;-0,640;0,816;-0,577
0,818;-0,634;0,818;-0,573
0,820;-0,631;0,820;-0,589
0,822;-0,632;0,822;-0,577
0,824;-0,623;0,824;-0,582
0,826;-0,627;0,826;-0,579
0,828;-0,620;0,828;-0,577
0,830;-0,627;0,830;-0,581
0,832;-0,627;0,832;-0,579
0,834;-0,632;0,834;-0,575
0,836;-0,638;0,836;-0,575
0,838;-0,636;0,838;-0,575
0,840;-0,643;0,840;-0,581
0,842;-0,643;0,842;-0,584
0,844;-0,645;0,844;-0,586
0,846;-0,647;0,846;-0,577
0,848;-0,641;0,848;-0,586
0,850;-0,636;0,850;-0,586
0,852;-0,640;0,852;-0,586
0,854;-0,632;0,854;-0,581
0,856;-0,632;0,856;-0,577
0,858;-0,631;0,858;-0,581
0,860;-0,629;0,860;-0,581
0,862;-0,629;0,862;-0,577
0,864;-0,629;0,864;-0,572
0,866;-0,634;0,866;-0,575
0,868;-0,640;0,868;-0,568
0,870;-0,640;0,870;-0,577
0,872;-0,647;0,872;-0,568
0,874;-0,645;0,874;-0,575
0,876;-0,647;0,876;-0,586
0,878;-0,654;0,878;-0,586
0,880;-0,650;0,880;-0,591
0,882;-0,643;0,882;-0,581
0,884;-0,640;0,884;-0,586
0,886;-0,643;0,886;-0,579
0,888;-0,638;0,888;-0,577
0,890;-0,632;0,890;-0,577
0,892;-0,638;0,892;-0,573
0,894;-0,634;0,894;-0,573
0,896;-0,632;0,896;-0,570
0,898;-0,636;0,898;-0,573
0,900;-0,638;0,900;-0,573
0,902;-0,636;0,902;-0,573
0,904;-0,641;0,904;-0,573
0,906;-0,643;0,906;-0,573
0,908;-0,643;0,908;-0,584
0,910;-0,643;0,910;-0,575
0,912;-0,638;0,912;-0,586
0,914;-0,645;0,914;-0,575
0,916;-0,647;0,916;-0,582
0,918;-0,643;0,918;-0,579
0,920;-0,636;0,920;-0,575
0,922;-0,632;0,922;-0,579
0,924;-0,640;0,924;-0,572
0,926;-0,632;0,926;-0,575
0,928;-0,631;0,928;-0,570
0,930;-0,625;0,930;-0,573
0,932;-0,632;0,932;-0,575
0,934;-0,632;0,934;-0,573
0,936;-0,634;0,936;-0,582
0,938;-0,634;0,938;-0,573
0,940;-0,638;0,940;-0,572
0,942;-0,634;0,942;-0,579
0,944;-0,641;0,944;-0,577
0,946;-0,640;0,946;-0,586
0,948;-0,643;0,948;-0,584
0,950;-0,641;0,950;-0,582
0,952;-0,645;0,952;-0,582
0,954;-0,638;0,954;-0,575
0,956;-0,636;0,956;-0,579
0,958;-0,632;0,958;-0,577
0,960;-0,631;0,960;-0,572
0,962;-0,627;0,962;-0,577
0,964;-0,631;0,964;-0,581
0,966;-0,632;0,966;-0,575
0,968;-0,632;0,968;-0,575
0,970;-0,632;0,970;-0,575
0,972;-0,629;0,972;-0,573
0,974;-0,636;0,974;-0,577
0,976;-0,640;0,976;-0,581
0,978;-0,636;0,978;-0,584
0,980;-0,636;0,980;-0,586
0,982;-0,634;0,982;-0,581
0,984;-0,640;0,984;-0,575
0,986;-0,638;0,986;-0,579
0,988;-0,641;0,988;-0,581
0,990;-0,640;0,990;-0,577
0,992;-0,625;0,992;-0,581
0,994;-0,631;0,994;-0,579
0,996;-0,632;0,996;-0,579
0,998;-0,631;0,998;-0,577
1,000;-0,632;1,000;-0,570
1,002;-0,631;1,002;-0,575
1,004;-0,634;1,004;-0,573
1,006;-0,643;1,006;-0,568
1,008;-0,641;1,008;-0,573
1,010;-0,648;1,010;-0,573
1,012;-0,648;1,012;-0,570
1,014;-0,648;1,014;-0,577
1,016;-0,648;1,016;-0,572
1,018;-0,652;1,018;-0,575
1,020;-0,648;1,020;-0,581
1,022;-0,643;1,022;-0,573
1,024;-0,643;1,024;-0,573
1,026;-0,640;1,026;-0,572
1,028;-0,640;1,028;-0,566
1,030;-0,638;1,030;-0,566
1,032;-0,640;1,032;-0,575
1,034;-0,640;1,034;-0,572
1,036;-0,640;1,036;-0,570
1,038;-0,636;1,038;-0,572
1,040;-0,641;1,040;-0,572
1,042;-0,641;1,042;-0,572
1,044;-0,645;1,044;-0,579
1,046;-0,648;1,046;-0,582
1,048;-0,648;1,048;-0,582
1,050;-0,640;1,050;-0,586
1,052;-0,640;1,052;-0,582
1,054;-0,641;1,054;-0,586
1,056;-0,634;1,056;-0,586
1,058;-0,636;1,058;-0,577
1,060;-0,625;1,060;-0,582
1,062;-0,631;1,062;-0,584
1,064;-0,627;1,064;-0,579
1,066;-0,632;1,066;-0,573
1,068;-0,627;1,068;-0,573
1,070;-0,634;1,070;-0,575
1,072;-0,631;1,072;-0,572
1,074;-0,636;1,074;-0,573
1,076;-0,632;1,076;-0,579
1,078;-0,632;1,078;-0,577
1,080;-0,636;1,080;-0,581
1,082;-0,641;1,082;-0,584
1,084;-0,636;1,084;-0,582
1,086;-0,634;1,086;-0,586
1,088;-0,631;1,088;-0,582
1,090;-0,625;1,090;-0,584
1,092;-0,640;1,092;-0,581
1,094;-0,634;1,094;-0,579
1,096;-0,632;1,096;-0,581
1,098;-0,638;1,098;-0,573
1,100;-0,634;1,100;-0,579
1,102;-0,634;1,102;-0,572
1,104;-0,634;1,104;-0,575
1,106;-0,638;1,106;-0,570
1,108;-0,632;1,108;-0,570
