"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,346;-0,659;0,346;-0,521
0,348;-0,656;0,348;-0,514
0,350;-0,657;0,350;-0,523
0,352;-0,659;0,352;-0,521
0,354;-0,656;0,354;-0,523
0,356;-0,650;0,356;-0,525
0,358;-0,665;0,358;-0,521
0,360;-0,656;0,360;-0,527
0,362;-0,656;0,362;-0,523
0,364;-0,665;0,364;-0,527
0,366;-0,656;0,366;-0,518
0,368;-0,656;0,368;-0,521
0,370;-0,656;0,370;-0,529
0,372;-0,656;0,372;-0,523
0,374;-0,659;0,374;-0,520
0,376;-0,659;0,376;-0,520
0,378;-0,657;0,378;-0,527
0,380;-0,659;0,380;-0,536
0,382;-0,657;0,382;-0,532
0,384;-0,656;0,384;-0,529
0,386;-0,654;0,386;-0,527
0,388;-0,656;0,388;-0,527
0,390;-0,657;0,390;-0,529
0,392;-0,659;0,392;-0,521
0,394;-0,665;0,394;-0,536
0,396;-0,666;0,396;-0,529
0,398;-0,650;0,398;-0,523
0,400;-0,665;0,400;-0,527
0,402;-0,657;0,402;-0,525
0,404;-0,650;0,404;-0,520
0,406;-0,654;0,406;-0,529
0,408;-0,654;0,408;-0,525
0,410;-0,659;0,410;-0,527
0,412;-0,654;0,412;-0,527
0,414;-0,657;0,414;-0,518
0,416;-0,657;0,416;-0,525
0,418;-0,654;0,418;-0,527
0,420;-0,656;0,420;-0,520
0,422;-0,654;0,422;-0,527
0,424;-0,656;0,424;-0,523
0,426;-0,654;0,426;-0,518
0,428;-0,656;0,428;-0,520
0,430;-0,659;0,430;-0,520
0,432;-0,652;0,432;-0,518
0,434;-0,656;0,434;-0,521
0,436;-0,657;0,436;-0,516
0,438;-0,648;0,438;-0,520
0,440;-0,652;0,440;-0,520
0,442;-0,650;0,442;-0,514
0,444;-0,654;0,444;-0,514
0,446;-0,656;0,446;-0,514
0,448;-0,663;0,448;-0,509
0,450;-0,656;0,450;-0,514
0,452;-0,652;0,452;-0,516
0,454;-0,656;0,454;-0,520
0,456;-0,657;0,456;-0,514
0,458;-0,663;0,458;-0,514
0,460;-0,654;0,460;-0,518
0,462;-0,652;0,462;-0,518
0,464;-0,652;0,464;-0,518
0,466;-0,656;0,466;-0,520
0,468;-0,656;0,468;-0,513
0,470;-0,657;0,470;-0,521
0,472;-0,654;0,472;-0,521
0,474;-0,652;0,474;-0,520
0,476;-0,654;0,476;-0,516
0,478;-0,656;0,478;-0,521
0,480;-0,663;0,480;-0,516
0,482;-0,659;0,482;-0,514
0,484;-0,654;0,484;-0,514
0,486;-0,661;0,486;-0,518
0,488;-0,654;0,488;-0,527
0,490;-0,659;0,490;-0,525
0,492;-0,657;0,492;-0,529
0,494;-0,659;0,494;-0,523
0,496;-0,657;0,496;-0,523
0,498;-0,657;0,498;-0,527
0,500;-0,659;0,500;-0,523
0,502;-0,654;0,502;-0,523
0,504;-0,666;0,504;-0,530
0,506;-0,659;0,506;-0,525
0,508;-0,657;0,508;-0,527
0,510;-0,659;0,510;-0,525
0,512;-0,661;0,512;-0,523
0,514;-0,659;0,514;-0,525
0,516;-0,657;0,516;-0,521
0,518;-0,652;0,518;-0,521
0,520;-0,661;0,520;-0,516
0,522;-0,665;0,522;-0,521
0,524;-0,659;0,524;-0,529
0,526;-0,652;0,526;-0,520
0,528;-0,657;0,528;-0,525
0,530;-0,656;0,530;-0,523
0,532;-0,657;0,532;-0,521
0,534;-0,656;0,534;-0,527
0,536;-0,656;0,536;-0,525
0,538;-0,661;0,538;-0,520
0,540;-0,654;0,540;-0,520
0,542;-0,659;0,542;-0,523
0,544;-0,652;0,544;-0,520
0,546;-0,656;0,546;-0,523
0,548;-0,654;0,548;-0,520
0,550;-0,650;0,550;-0,520
0,552;-0,656;0,552;-0,520
0,554;-0,665;0,554;-0,523
0,556;-0,656;0,556;-0,520
0,558;-0,652;0,558;-0,514
0,560;-0,650;0,560;-0,521
0,562;-0,652;0,562;-0,523
0,564;-0,657;0,564;-0,516
0,566;-0,656;0,566;-0,516
0,568;-0,659;0,568;-0,520
0,570;-0,659;0,570;-0,514
0,572;-0,656;0,572;-0,514
0,574;-0,657;0,574;-0,516
0,576;-0,652;0,576;-0,518
0,578;-0,656;0,578;-0,518
0,580;-0,652;0,580;-0,516
0,582;-0,654;0,582;-0,518
0,584;-0,657;0,584;-0,520
0,586;-0,659;0,586;-0,514
0,588;-0,650;0,588;-0,518
0,590;-0,652;0,590;-0,520
0,592;-0,656;0,592;-0,520
0,594;-0,654;0,594;-0,520
0,596;-0,656;0,596;-0,509
0,598;-0,659;0,598;-0,511
0,600;-0,659;0,600;-0,518
0,602;-0,656;0,602;-0,518
0,604;-0,657;0,604;-0,521
0,606;-0,654;0,606;-0,516
0,608;-0,659;0,608;-0,520
0,610;-0,648;0,610;-0,521
0,612;-0,656;0,612;-0,518
0,614;-0,659;0,614;-0,518
0,616;-0,656;0,616;-0,514
0,618;-0,647;0,618;-0,521
0,620;-0,654;0,620;-0,523
0,622;-0,659;0,622;-0,521
0,624;-0,654;0,624;-0,521
0,626;-0,654;0,626;-0,523
0,628;-0,659;0,628;-0,523
0,630;-0,663;0,630;-0,523
0,632;-0,663;0,632;-0,525
0,634;-0,661;0,634;-0,523
0,636;-0,659;0,636;-0,518
0,638;-0,661;0,638;-0,516
0,640;-0,661;0,640;-0,523
0,642;-0,654;0,642;-0,527
0,644;-0,656;0,644;-0,527
0,646;-0,652;0,646;-0,527
0,648;-0,656;0,648;-0,520
0,650;-0,661;0,650;-0,525
0,652;-0,657;0,652;-0,523
0,654;-0,663;0,654;-0,521
0,656;-0,652;0,656;-0,527
0,658;-0,656;0,658;-0,529
0,660;-0,657;0,660;-0,525
0,662;-0,663;0,662;-0,523
0,664;-0,659;0,664;-0,523
0,666;-0,652;0,666;-0,527
0,668;-0,656;0,668;-0,525
0,670;-0,657;0,670;-0,520
0,672;-0,657;0,672;-0,527
0,674;-0,659;0,674;-0,525
0,676;-0,659;0,676;-0,523
0,678;-0,657;0,678;-0,525
0,680;-0,661;0,680;-0,525
0,682;-0,661;0,682;-0,525
0,684;-0,654;0,684;-0,525
0,686;-0,654;0,686;-0,521
0,688;-0,654;0,688;-0,520
0,690;-0,657;0,690;-0,516
0,692;-0,656;0,692;-0,514
0,694;-0,665;0,694;-0,514
0,696;-0,659;0,696;-0,520
0,698;-0,654;0,698;-0,523
0,700;-0,659;0,700;-0,527
0,702;-0,654;0,702;-0,527
0,704;-0,656;0,704;-0,518
0,706;-0,656;0,706;-0,525
0,708;-0,656;0,708;-0,518
0,710;-0,652;0,710;-0,520
0,712;-0,656;0,712;-0,520
0,714;-0,657;0,714;-0,511
0,716;-0,650;0,716;-0,520
0,718;-0,654;0,718;-0,520
0,720;-0,657;0,720;-0,520
0,722;-0,654;0,722;-0,514
0,724;-0,654;0,724;-0,521
0,726;-0,659;0,726;-0,514
0,728;-0,656;0,728;-0,523
0,730;-0,663;0,730;-0,520
0,732;-0,657;0,732;-0,514
0,734;-0,659;0,734;-0,527
0,736;-0,656;0,736;-0,523
0,738;-0,648;0,738;-0,516
0,740;-0,659;0,740;-0,521
0,742;-0,663;0,742;-0,525
0,744;-0,663;0,744;-0,523
0,746;-0,656;0,746;-0,521
0,748;-0,663;0,748;-0,520
0,750;-0,657;0,750;-0,525
0,752;-0,659;0,752;-0,523
0,754;-0,656;0,754;-0,523
0,756;-0,657;0,756;-0,525
0,758;-0,661;0,758;-0,523
0,760;-0,659;0,760;-0,521
0,762;-0,656;0,762;-0,523
0,764;-0,666;0,764;-0,529
0,766;-0,659;0,766;-0,530
0,768;-0,657;0,768;-0,525
0,770;-0,663;0,770;-0,529
0,772;-0,656;0,772;-0,521
0,774;-0,663;0,774;-0,523
0,776;-0,663;0,776;-0,529
0,778;-0,659;0,778;-0,527
0,780;-0,657;0,780;-0,521
0,782;-0,663;0,782;-0,521
0,784;-0,656;0,784;-0,521
0,786;-0,666;0,786;-0,523
0,788;-0,663;0,788;-0,525
0,790;-0,657;0,790;-0,521
0,792;-0,659;0,792;-0,521
0,794;-0,654;0,794;-0,529
0,796;-0,668;0,796;-0,529
0,798;-0,665;0,798;-0,527
0,800;-0,663;0,800;-0,529
0,802;-0,659;0,802;-0,523
0,804;-0,663;0,804;-0,527
0,806;-0,661;0,806;-0,525
0,808;-0,661;0,808;-0,523
0,810;-0,652;0,810;-0,523
0,812;-0,654;0,812;-0,523
0,814;-0,652;0,814;-0,523
0,816;-0,654;0,816;-0,525
0,818;-0,663;0,818;-0,521
0,820;-0,657;0,820;-0,521
0,822;-0,656;0,822;-0,527
0,824;-0,663;0,824;-0,521
0,826;-0,654;0,826;-0,521
0,828;-0,650;0,828;-0,520
0,830;-0,654;0,830;-0,516
0,832;-0,656;0,832;-0,521
0,834;-0,652;0,834;-0,520
0,836;-0,656;0,836;-0,518
0,838;-0,657;0,838;-0,504
0,840;-0,659;0,840;-0,511
0,842;-0,657;0,842;-0,513
0,844;-0,647;0,844;-0,513
0,846;-0,656;0,846;-0,518
0,848;-0,659;0,848;-0,514
0,850;-0,659;0,850;-0,518
0,852;-0,654;0,852;-0,516
0,854;-0,657;0,854;-0,514
0,856;-0,665;0,856;-0,514
0,858;-0,657;0,858;-0,518
0,860;-0,657;0,860;-0,518
0,862;-0,663;0,862;-0,518
0,864;-0,656;0,864;-0,514
0,866;-0,670;0,866;-0,514
0,868;-0,666;0,868;-0,520
0,870;-0,659;0,870;-0,518
0,872;-0,661;0,872;-0,525
0,874;-0,661;0,874;-0,521
0,876;-0,668;0,876;-0,523
0,878;-0,661;0,878;-0,525
0,880;-0,661;0,880;-0,520
0,882;-0,657;0,882;-0,520
