"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5"
0,460;0,21;-0,01;0,460;0,20;0,01;0,460;0,21;6,83E-4;0,460;0,21;0,00;0,460;0,20;0,00
0,470;0,21;-0,01;0,470;0,20;0,01;0,470;0,20;-0,01;0,470;0,20;3,42E-4;0,470;0,21;0,00
0,480;0,21;0,01;0,480;0,21;0,01;0,480;0,20;-0,02;0,480;0,20;-0,01;0,480;0,21;5,07E-4
0,490;0,21;0,00;0,490;0,20;-0,01;0,490;0,20;1,68E-4;0,490;0,21;-0,01;0,490;0,21;-0,01
0,500;0,21;-0,01;0,500;0,20;0,00;0,500;0,20;0,00;0,500;0,20;-0,01;0,500;0,21;0,00
0,510;0,21;-0,01;0,510;0,21;0,01;0,510;0,20;0,01;0,510;0,20;0,00;0,510;0,21;-0,02
0,520;0,20;0,00;0,520;0,20;0,00;0,520;0,20;0,01;0,520;0,20;0,00;0,520;0,21;-0,01
0,530;0,21;0,01;0,530;0,20;0,01;0,530;0,20;-1,71E-4;0,530;0,21;0,00;0,530;0,20;0,01
0,540;0,21;0,01;0,540;0,21;5,17E-4;0,540;0,20;0,00;0,540;0,20;-0,01;0,540;0,21;0,02
0,550;0,21;-0,01;0,550;0,21;-0,01;0,550;0,20;-0,01;0,550;0,21;-0,01;0,550;0,21;0,01
0,560;0,21;-0,01;0,560;0,20;0,00;0,560;0,20;-5,08E-4;0,560;0,20;0,01;0,560;0,21;-0,01
0,570;0,20;-6,85E-4;0,570;0,21;-1,70E-4;0,570;0,20;0,01;0,570;0,20;-8,54E-4;0,570;0,21;0,00
0,580;0,21;0,01;0,580;0,21;0,00;0,580;0,20;0,01;0,580;0,21;0,02;0,580;0,20;-0,01
0,590;0,21;0,01;0,590;0,20;-6,85E-4;0,590;0,20;0,02;0,590;0,20;-0,01;0,590;0,21;-0,01
0,600;0,21;-0,02;0,600;0,21;0,01;0,600;0,20;0,00;0,600;0,21;-0,01;0,600;0,20;0,00
0,610;0,21;-0,01;0,610;0,21;0,02;0,610;0,20;0,00;0,610;0,20;-0,01;0,610;0,21;0,01
0,620;0,20;-8,54E-4;0,620;0,21;0,00;0,620;0,20;0,00;0,620;0,21;-0,02;0,620;0,21;0,01
0,630;0,21;0,02;0,630;0,21;0,00;0,630;0,20;0,00;0,630;0,20;0,01;0,630;0,21;-0,01
0,640;0,21;-0,01;0,640;0,20;-0,01;0,640;0,20;-0,01;0,640;0,20;0,00;0,640;0,21;-0,01
0,650;0,21;-0,02;0,650;0,21;-0,02;0,650;0,20;-0,02;0,650;0,21;0,02;0,650;0,20;-0,01
0,660;0,20;0,01;0,660;0,20;0,00;0,660;0,20;0,00;0,660;0,20;0,00;0,660;0,21;-0,01
0,670;0,21;0,01;0,670;0,21;0,01;0,670;0,20;0,02;0,670;0,21;-0,01;0,670;0,20;0,01
0,680;0,21;0,01;0,680;0,21;0,02;0,680;0,20;0,01;0,680;0,20;0,01;0,680;0,21;0,01
0,690;0,20;-0,01;0,690;0,20;-0,01;0,690;0,21;0,00;0,690;0,20;-0,02;0,690;0,21;0,02
0,700;0,21;-0,01;0,700;0,21;-3,42E-4;0,700;0,20;0,01;0,700;0,20;0,01;0,700;0,21;-0,01
0,710;0,21;0,00;0,710;0,20;0,01;0,710;0,21;0,02;0,710;0,20;-0,01;0,710;0,21;-0,01
0,720;0,20;0,00;0,720;0,21;-1,72E-4;0,720;0,20;0,00;0,720;0,21;0,01;0,720;0,20;-0,01
0,730;0,21;0,01;0,730;0,21;0,00;0,730;0,21;-0,01;0,730;0,20;0,00;0,730;0,21;-6,85E-4
0,740;0,20;0,00;0,740;0,21;0,00;0,740;0,20;0,01;0,740;0,21;-0,02;0,740;0,20;0,01
0,750;0,21;-0,02;0,750;0,21;0,00;0,750;0,21;0,00;0,750;0,20;0,01;0,750;0,21;-0,01
0,760;0,20;0,00;0,760;0,20;0,00;0,760;0,21;5,13E-4;0,760;0,20;0,00;0,760;0,21;-0,10
0,770;0,20;-0,01;0,770;0,21;0,01;0,770;0,20;-0,01;0,770;0,21;0,02;0,770;0,20;-0,26
0,780;0,21;0,00;0,780;0,21;0,01;0,780;0,21;0,01;0,780;0,20;0,00;0,780;0,20;-0,39
0,790;0,20;0,00;0,790;0,21;-0,01;0,790;0,20;0,01;0,790;0,21;-0,01;0,790;0,20;-0,54
0,800;0,21;0,00;0,800;0,21;-0,01;0,800;0,20;0,00;0,800;0,20;0,01;0,800;0,19;-0,69
0,810;0,20;0,01;0,810;0,20;-0,01;0,810;0,20;0,02;0,810;0,20;-0,01;0,810;0,18;-0,81
0,820;0,20;0,00;0,820;0,21;-3,43E-4;0,820;0,21;-0,01;0,820;0,20;0,00;0,820;0,17;-0,85
0,830;0,21;-0,01;0,830;0,21;0,01;0,830;0,21;-0,01;0,830;0,20;-0,02;0,830;0,16;-0,77
0,840;0,20;-0,02;0,840;0,21;-1,71E-4;0,840;0,20;-0,01;0,840;0,20;0,00;0,840;0,16;-0,69
0,850;0,20;-0,02;0,850;0,21;0,00;0,850;0,21;0,01;0,850;0,20;0,02;0,850;0,15;-0,57
0,860;0,20;0,01;0,860;0,21;-0,01;0,860;0,20;0,01;0,860;0,21;-3,42E-4;0,860;0,15;-0,46
0,870;0,20;0,00;0,870;0,21;-0,09;0,870;0,20;0,00;0,870;0,20;0,01;0,870;0,14;-0,32
0,880;0,20;1,50E-6;0,880;0,20;-0,24;0,880;0,21;0,01;0,880;0,20;-0,01;0,880;0,14;-0,13
0,890;0,20;5,09E-4;0,890;0,20;-0,40;0,890;0,20;0,00;0,890;0,21;0,01;0,890;0,14;0,06
0,900;0,20;-0,01;0,900;0,20;-0,56;0,900;0,21;-0,02;0,900;0,20;-0,01;0,900;0,14;0,22
0,910;0,20;2,67E-6;0,910;0,19;-0,70;0,910;0,20;-5,14E-4;0,910;0,21;0,00;0,910;0,14;0,34
0,920;0,20;-8,51E-4;0,920;0,18;-0,82;0,920;0,20;0,01;0,920;0,20;0,02;0,920;0,15;0,43
0,930;0,20;0,02;0,930;0,17;-0,86;0,930;0,21;0,02;0,930;0,21;-1,70E-4;0,930;0,15;0,45
0,940;0,20;0,00;0,940;0,16;-0,79;0,940;0,20;0,00;0,940;0,21;0,00;0,940;0,16;0,46
0,950;0,20;-0,03;0,950;0,16;-0,67;0,950;0,21;0,00;0,950;0,20;-0,02;0,950;0,16;0,51
0,960;0,20;-0,01;0,960;0,15;-0,53;0,960;0,20;0,01;0,960;0,21;-0,01;0,960;0,17;0,56
0,970;0,20;-8,49E-4;0,970;0,15;-0,40;0,970;0,21;-8,19E-7;0,970;0,20;0,00;0,970;0,17;0,60
0,980;0,20;0,01;0,980;0,14;-0,26;0,980;0,21;5,12E-4;0,980;0,20;0,00;0,980;0,18;0,61
0,990;0,20;0,01;0,990;0,14;-0,08;0,990;0,21;-0,01;0,990;0,20;0,02;0,990;0,18;0,58
1,000;0,20;0,00;1,000;0,14;0,10;1,000;0,21;0,00;1,000;0,20;-1,63E-4;1,000;0,19;0,49
