"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Aceleración (m/s²) Serie Nº 2";"Fuerza (N) Serie Nº 2"
4,230;0,00;0,00;0,00;-0,014;4,230;0,21;1,75E-4;-0,10;-0,232
4,240;0,00;0,00;0,00;-0,010;4,240;0,21;0,00;-0,06;-0,234
4,250;0,00;0,00;0,00;-0,012;4,250;0,21;0,00;0,09;-0,225
4,260;0,00;0,00;0,00;-0,010;4,260;0,21;-1,75E-4;0,20;-0,198
4,270;0,00;0,00;0,00;-0,010;4,270;0,21;0,00;0,06;-0,207
4,280;0,00;0,00;0,00;-0,014;4,280;0,21;0,00;-0,14;-0,208
4,290;0,00;0,00;0,00;-0,008;4,290;0,21;0,00;-0,15;-0,219
4,300;0,00;0,00;0,00;-0,010;4,300;0,21;0,00;0,04;-0,219
4,310;0,00;0,00;0,00;-0,006;4,310;0,21;-1,75E-4;0,15;-0,223
4,320;0,00;0,00;0,00;-0,006;4,320;0,21;0,00;0,01;-0,230
4,330;0,00;0,00;0,00;-0,010;4,330;0,21;1,75E-4;-0,10;-0,232
4,340;0,00;0,00;0,00;-0,010;4,340;0,21;0,00;-0,01;-0,230
4,350;0,00;0,00;0,00;-0,006;4,350;0,21;-1,75E-4;0,15;-0,234
4,360;0,00;0,00;0,00;-0,005;4,360;0,21;0,00;0,10;-0,237
4,370;0,00;0,00;0,00;-0,012;4,370;0,21;0,00;-0,04;-0,235
4,380;0,00;0,00;0,00;-0,010;4,380;0,21;0,00;-0,10;-0,241
4,390;0,00;0,00;0,00;-0,010;4,390;0,21;0,00;-0,05;-0,239
4,400;0,00;0,00;0,00;-0,008;4,400;0,21;0,00;0,00;-0,242
4,410;0,00;0,00;0,00;-0,006;4,410;0,21;0,00;-0,04;-0,248
4,420;0,00;0,00;0,00;-0,010;4,420;0,21;1,75E-4;-0,14;-0,241
4,430;0,00;0,00;0,00;-0,006;4,430;0,21;0,00;-0,15;-0,242
4,440;0,00;0,00;0,00;-0,006;4,440;0,21;-0,01;0,04;-0,244
4,450;0,00;0,00;0,00;-0,008;4,450;0,21;0,00;0,24;-0,246
4,460;0,00;0,00;0,00;-0,005;4,460;0,21;0,00;0,21;-0,242
4,470;0,00;0,00;0,00;-0,006;4,470;0,21;0,00;-0,04;-0,244
4,480;0,00;0,00;0,00;-0,005;4,480;0,21;1,75E-4;-0,15;-0,244
4,490;0,00;0,00;0,00;-0,008;4,490;0,21;0,00;-0,01;-0,241
4,500;0,00;0,00;;-0,006;4,500;0,21;-1,75E-4;0,14;-0,241
4,510;0,00;0,00;;-0,005;4,510;0,21;0,00;0,15;-0,242
4,520;0,00;;;-0,003;4,520;0,21;0,00;0,01;-0,214
4,530;;;;-0,006;4,530;0,21;0,00;-0,10;-0,183
4,540;;;;-0,010;4,540;0,21;0,00;-0,10;-0,174
;;;;;4,550;0,21;0,00;-0,05;-0,191
;;;;;4,560;0,21;0,00;0,00;-0,196
;;;;;4,570;0,21;0,00;0,00;-0,182
;;;;;4,580;0,21;0,00;0,00;-0,182
;;;;;4,590;0,21;0,00;0,00;-0,183
;;;;;4,600;0,21;0,00;0,00;-0,187
;;;;;4,610;0,21;0,00;-0,04;-0,189
;;;;;4,620;0,21;1,75E-4;-0,10;-0,183
;;;;;4,630;0,21;0,00;-0,10;-0,178
;;;;;4,640;0,21;0,00;-0,05;-0,176
;;;;;4,650;0,21;0,00;-1,07E-5;-0,180
;;;;;4,660;0,21;0,00;0,00;-0,182
;;;;;4,670;0,21;0,00;0,04;-0,183
;;;;;4,680;0,21;0,00;0,10;-0,192
;;;;;4,690;0,21;0,00;0,10;-0,194
;;;;;4,700;0,21;0,00;0,05;-0,198
;;;;;4,710;0,21;0,00;0,00;-0,201
;;;;;4,720;0,21;0,00;0,00;-0,192
;;;;;4,730;0,21;0,00;0,00;-0,196
;;;;;4,740;0,21;0,00;0,00;-0,198
;;;;;4,750;0,21;0,00;0,00;-0,196
;;;;;4,760;0,21;0,00;0,00;-0,203
;;;;;4,770;0,21;0,00;0,00;-0,200
;;;;;4,780;0,21;0,00;0,00;-0,198
;;;;;4,790;0,21;0,00;0,00;-0,207
;;;;;4,800;0,21;0,00;0,00;-0,205
;;;;;4,810;0,21;0,00;0,00;-0,205
;;;;;4,820;0,21;0,00;0,00;-0,208
;;;;;4,830;0,21;0,00;0,00;-0,207
;;;;;4,840;0,21;0,00;0,00;-0,208
;;;;;4,850;0,21;0,00;0,00;-0,210
;;;;;4,860;0,21;0,00;0,00;-0,212
;;;;;4,870;0,21;0,00;0,00;-0,214
;;;;;4,880;0,21;0,00;0,00;-0,212
;;;;;4,890;0,21;0,00;0,00;-0,214
;;;;;4,900;0,21;0,00;0,00;-0,212
;;;;;4,910;0,21;0,00;0,00;-0,212
;;;;;4,920;0,21;0,00;0,00;-0,216
;;;;;4,930;0,21;0,00;0,00;-0,214
;;;;;4,940;0,21;0,00;0,00;-0,214
;;;;;4,950;0,21;0,00;0,00;-0,214
;;;;;4,960;0,21;0,00;0,00;-0,221
;;;;;4,970;0,21;0,00;0,00;-0,219
;;;;;4,980;0,21;0,00;0,00;-0,217
;;;;;4,990;0,21;0,00;0,00;-0,210
;;;;;5,000;0,21;0,00;0,00;-0,219
;;;;;5,010;0,21;0,00;0,00;-0,219
;;;;;5,020;0,21;0,00;0,00;-0,219
;;;;;5,030;0,21;0,00;0,00;-0,219
;;;;;5,040;0,21;0,00;0,00;-0,219
;;;;;5,050;0,21;0,00;0,00;-0,219
;;;;;5,060;0,21;0,00;0,00;-0,223
;;;;;5,070;0,21;0,00;0,00;-0,223
;;;;;5,080;0,21;0,00;0,00;-0,223
;;;;;5,090;0,21;0,00;0,00;-0,226
;;;;;5,100;0,21;0,00;0,00;-0,223
;;;;;5,110;0,21;0,00;0,00;-0,225
;;;;;5,120;0,21;0,00;0,00;-0,226
;;;;;5,130;0,21;0,00;0,00;-0,223
;;;;;5,140;0,21;0,00;0,00;-0,225
;;;;;5,150;0,21;0,00;0,00;-0,225
;;;;;5,160;0,21;0,00;0,00;-0,223
;;;;;5,170;0,21;0,00;0,00;-0,223
;;;;;5,180;0,21;0,00;0,00;-0,223
;;;;;5,190;0,21;0,00;0,00;-0,225
;;;;;5,200;0,21;0,00;0,00;-0,223
;;;;;5,210;0,21;0,00;0,00;-0,228
;;;;;5,220;0,21;0,00;0,00;-0,223
;;;;;5,230;0,21;0,00;0,00;-0,226
;;;;;5,240;0,21;0,00;0,00;-0,225
;;;;;5,250;0,21;0,00;0,00;-0,225
;;;;;5,260;0,21;0,00;0,00;-0,221
;;;;;5,270;0,21;0,00;0,00;-0,221
;;;;;5,280;0,21;0,00;0,00;-0,223
;;;;;5,290;0,21;0,00;0,00;-0,225
;;;;;5,300;0,21;0,00;0,00;-0,226
;;;;;5,310;0,21;0,00;0,00;-0,223
;;;;;5,320;0,21;0,00;0,00;-0,223
;;;;;5,330;0,21;0,00;0,00;-0,225
;;;;;5,340;0,21;0,00;0,00;-0,223
;;;;;5,350;0,21;0,00;0,00;-0,228
;;;;;5,360;0,21;0,00;0,00;-0,226
;;;;;5,370;0,21;0,00;0,00;-0,223
;;;;;5,380;0,21;0,00;0,00;-0,225
;;;;;5,390;0,21;0,00;;-0,225
;;;;;5,400;0,21;0,00;;-0,234
;;;;;5,410;0,21;;;-0,228
;;;;;5,420;;;;-0,230
