"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
1,430;-0,254;0,25;0,39;0,20
1,440;-0,268;0,25;0,39;0,09
1,450;-0,270;0,25;0,39;0,18
1,460;-0,270;0,26;0,39;0,33
1,470;-0,261;0,26;0,40;0,34
1,480;-0,265;0,27;0,40;0,20
1,490;-0,268;0,27;0,40;0,09
1,500;-0,270;0,27;0,40;0,14
1,510;-0,260;0,28;0,40;0,23
1,520;-0,276;0,28;0,41;0,29
1,530;-0,265;0,29;0,41;0,24
1,540;-0,276;0,29;0,41;0,19
1,550;-0,277;0,29;0,41;0,19
1,560;-0,256;0,30;0,41;0,24
1,570;-0,268;0,30;0,42;0,24
1,580;-0,277;0,31;0,42;0,19
1,590;-0,251;0,31;0,42;0,23
1,600;-0,276;0,31;0,42;0,33
1,610;-0,279;0,32;0,43;0,39
1,620;-0,263;0,32;0,43;0,33
1,630;-0,268;0,33;0,43;0,33
1,640;-0,260;0,33;0,44;0,38
1,650;-0,281;0,34;0,44;0,38
1,660;-0,274;0,34;0,45;0,38
1,670;-0,252;0,34;0,45;0,39
1,680;-0,286;0,35;0,45;0,35
1,690;-0,268;0,35;0,46;0,19
1,700;-0,254;0,36;0,46;0,12
1,710;-0,270;0,36;0,46;0,35
1,720;-0,286;0,37;0,46;0,70
1,730;-0,260;0,37;0,47;0,88
1,740;-0,270;0,38;0,48;0,33
1,750;-0,281;0,38;0,49;-0,98
1,760;-0,267;0,39;0,47;-2,15
1,770;-0,254;0,39;0,43;-2,28
1,780;-0,286;0,40;0,41;-1,17
1,790;-0,265;0,40;0,41;0,30
1,800;-0,270;0,40;0,42;1,46
1,810;-0,276;0,41;0,44;2,09
1,820;-0,261;0,41;0,47;1,80
1,830;-0,286;0,42;0,49;1,03
1,840;-0,261;0,42;0,48;0,67
1,850;-0,279;0,43;0,49;1,03
1,860;-0,285;0,43;0,51;1,28
1,870;-0,261;0,44;0,52;0,57
1,880;-0,279;0,44;0,52;-0,31
1,890;-0,286;0,45;0,51;0,08
1,900;-0,242;0,45;0,51;1,69
1,910;-0,292;0,46;0,54;3,13
1,920;-0,270;0,46;0,59;3,01
1,930;-0,268;0,47;0,62;1,58
1,940;-0,267;0,48;0,62;-0,25
1,950;-0,283;0,48;0,61;-1,86
1,960;-0,277;0,49;0,58;-3,50
1,970;-0,251;0,49;0,54;-5,13
1,980;-0,299;0,50;0,47;-5,75
1,990;-0,243;0,50;0,41;-4,72
2,000;-0,279;0,51;0,37;-2,23
2,010;-0,283;0,51;0,36;-0,78
2,020;-0,254;0,51;0,38;-0,95
2,030;-0,276;0,52;0,35;-1,18
2,040;-0,276;0,52;0,33;0,17
2,050;-0,267;0,52;0,34;2,74
2,060;-0,263;0,53;0,39;3,78
2,070;-0,263;0,53;0,44;3,14
2,080;-0,281;0,54;0,46;1,84
2,090;-0,254;0,54;0,47;0,97
2,100;-0,268;0,55;0,48;0,54
2,110;-0,261;0,55;0,48;0,11
2,120;-0,258;0,56;0,48;-0,02
2,130;-0,295;0,56;0,48;0,07
2,140;-0,226;0,57;0,48;0,24
2,150;-0,243;0,57;0,48;0,25
2,160;-0,302;0,58;0,49;0,19
2,170;-0,251;0,58;0,49;-0,03
2,180;-0,240;0,59;0,49;-0,61
2,190;-0,260;0,59;0,48;-1,69
2,200;-0,301;0,59;0,46;-3,20
2,210;-0,365;0,60;0,42;-4,82
2,220;-0,424;0,60;0,36;-6,20
2,230;-0,483;0,61;0,29;-7,04
2,240;-0,068;0,61;0,21;-7,44
2,250;-0,267;0,61;0,14;-7,74
2,260;-1,579;0,61;0,06;-8,03
2,270;-0,667;0,61;-0,02;-8,06
2,280;-0,115;0,61;-0,10;-7,67
2,290;-0,429;0,61;-0,18;-7,06
2,300;-1,127;0,61;-0,24;-6,41
2,310;-0,372;0,60;-0,31;-5,69
2,320;-0,156;0,60;-0,36;-4,70
2,330;-0,669;0,60;-0,40;-3,33
2,340;-0,671;0,59;-0,43;-1,75
2,350;-0,054;0,59;-0,44;-0,40
2,360;-0,158;0,58;-0,43;0,33
2,370;-0,442;0,58;-0,43;0,41
2,380;-0,279;0,58;-0,42;0,24
2,390;-0,127;0,57;-0,42;0,22
2,400;-0,338;0,57;-0,42;0,36
2,410;-0,383;0,56;-0,41;0,53
2,420;-0,154;0,56;-0,41;0,50
2,430;-0,260;0,56;-0,40;0,34
2,440;-0,369;0,55;-0,40;0,27
2,450;-0,206;0,55;-0,40;0,40
2,460;-0,242;0,54;-0,39;0,62
2,470;-0,338;0,54;-0,39;0,64
2,480;-0,224;0,54;-0,38;0,53
2,490;-0,268;0,53;-0,38;0,51
2,500;-0,299;0,53;-0,37;0,66
2,510;-0,243;0,52;-0,36;0,78
2,520;-0,267;0,52;-0,35;0,69
2,530;-0,308;0,52;-0,35;0,51
2,540;-0,226;0,51;-0,35;0,60
2,550;-0,286;0,51;-0,34;1,09
2,560;-0,304;0,51;-0,32;1,59
2,570;-0,235;0,50;-0,30;1,62
2,580;-0,267;0,50;-0,29;0,98
2,590;-0,302;0,50;-0,28;0,42
2,600;-0,272;0,50;-0,29;0,49
2,610;-0,233;0,49;-0,28;0,86
2,620;-0,317;0,49;-0,26;0,64
2,630;-0,274;0,49;-0,26;-0,56
2,640;-0,233;0,48;-0,27;-1,46
2,650;-0,286;0,48;-0,30;-1,33
2,660;-0,281;0,48;-0,30;-0,67
2,670;-0,254;0,48;-0,30;-0,60
2,680;-0,260;0,47;-0,31;-1,16
2,690;-0,299;0,47;-0,33;-1,18
2,700;-0,240;0,47;-0,35;-0,28
2,710;-0,274;0,46;-0,34;0,81
2,720;-0,295;0,46;-0,32;1,25
2,730;-0,251;0,46;-0,31;1,20
2,740;-0,267;0,45;-0,30;1,15
2,750;-0,302;0,45;-0,29;1,17
2,760;-0,258;0,45;-0,27;1,01
2,770;-0,260;0,44;-0,26;0,62
2,780;-0,301;0,44;-0,26;0,26
2,790;-0,261;0,44;-0,26;0,05
2,800;-0,254;0,44;-0,26;0,02
2,810;-0,297;0,43;-0,26;0,19
2,820;-0,270;0,43;-0,26;0,61
2,830;-0,256;0,43;-0,25;
2,840;-0,288;0,43;-0,23;
2,850;-0,281;0,42;;
2,860;-0,251;;;
