"Tiempo (s) Serie Nº 6";"Fuerza (N) Serie Nº 6";"Posición (m) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Aceleración (m/s²) Serie Nº 6"
2,420;-0,258;0,55;-0,31;5,14
2,430;-0,288;0,54;-0,21;6,90
2,440;-0,256;0,54;-0,10;3,85
2,450;-0,272;0,54;-0,10;-2,64
2,460;-0,279;0,54;-0,19;-6,02
2,470;-0,274;0,54;-0,28;-4,44
2,480;-0,263;0,53;-0,28;-0,93
2,490;-0,274;0,53;-0,27;1,30
2,500;-0,276;0,53;-0,25;1,93
2,510;-0,274;0,53;-0,23;2,23
2,520;-0,270;0,52;-0,21;1,84
2,530;-0,268;0,52;-0,19;0,50
2,540;-0,281;0,52;-0,19;-1,37
2,550;-0,258;0,52;-0,22;-2,35
2,560;-0,268;0,52;-0,25;-1,73
2,570;-0,288;0,51;-0,26;-0,56
2,580;-0,258;0,51;-0,25;-0,49
2,590;-0,263;0,51;-0,26;-1,75
2,600;-0,285;0,50;-0,29;-3,01
2,610;-0,256;0,50;-0,33;-3,20
2,620;-0,268;0,50;-0,36;-2,32
2,630;-0,281;0,49;-0,38;-0,85
2,640;-0,261;0,49;-0,38;0,86
2,650;-0,265;0,49;-0,36;2,08
2,660;-0,267;0,48;-0,32;2,04
2,670;-0,276;0,48;-0,31;1,10
2,680;-0,258;0,48;-0,31;0,68
2,690;-0,285;0,47;-0,31;1,35
2,700;-0,258;0,47;-0,28;2,07
2,710;-0,277;0,47;-0,25;2,04
2,720;-0,254;0,47;-0,24;1,45
2,730;-0,277;0,46;-0,23;0,94
2,740;-0,272;0,46;-0,22;0,70
2,750;-0,261;0,46;-0,22;0,52
2,760;-0,276;0,46;-0,21;0,23
2,770;-0,267;0,46;-0,21;-0,09
2,780;-0,281;0,45;-0,22;-0,17
2,790;-0,243;0,45;-0,22;0,02
2,800;-0,297;0,45;-0,21;0,22
2,810;-0,263;0,45;-0,21;0,35
2,820;-0,270;0,44;-0,21;0,63
2,830;-0,281;0,44;-0,20;0,96
2,840;-0,267;0,44;-0,18;0,99
2,850;-0,279;0,44;-0,18;0,71
2,860;-0,256;0,44;-0,17;0,40
2,870;-0,279;0,44;-0,17;0,29
2,880;-0,272;0,43;-0,17;0,28
2,890;-0,267;0,43;-0,16;0,32
2,900;-0,276;0,43;-0,16;0,43
2,910;-0,277;0,43;-0,16;0,45
2,920;-0,260;0,43;-0,15;0,30
2,930;-0,267;0,43;-0,15;0,13
2,940;-0,277;0,42;-0,15;0,21
2,950;-0,267;0,42;-0,15;0,47
2,960;-0,272;0,42;-0,14;0,59
2,970;-0,268;0,42;-0,13;0,50
2,980;-0,276;0,42;-0,13;0,33
2,990;-0,270;0,42;-0,13;0,27
3,000;-0,268;0,42;-0,12;
3,010;-0,276;0,42;-0,12;
3,020;-0,270;0,41;;
3,030;-0,268;;;
