"Tiempo (s) Serie Nº 6";"Fuerza (N) Serie Nº 6";"Posición (m) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Aceleración (m/s²) Serie Nº 6"
0,000;-0,261;0,12;;
0,010;-0,263;0,13;0,33;
0,020;-0,263;0,13;0,04;-25,27
0,030;-0,261;0,13;-0,18;-9,31
0,040;-0,263;0,13;-0,19;4,17
0,050;-0,260;0,12;0,00;8,12
0,060;-0,263;0,13;0,11;1,52
0,070;-0,261;0,13;0,01;-3,71
0,080;-0,267;0,13;-0,11;-0,24
0,090;-0,263;0,12;0,00;3,94
0,100;-0,260;0,13;0,11;0,82
0,110;-0,265;0,13;0,03;-4,81
0,120;-0,258;0,13;-0,09;-4,24
0,130;-0,261;0,13;-0,09;0,73
0,140;-0,265;0,13;-0,02;3,17
0,150;-0,261;0,13;0,01;1,55
0,160;-0,263;0,12;0,00;-0,22
0,170;-0,261;0,13;-0,02;-0,73
0,180;-0,265;0,12;-0,01;-0,30
0,190;-0,265;0,12;-0,03;0,17
0,200;-0,258;0,13;-0,01;0,65
0,210;-0,260;0,12;-0,01;1,18
0,220;-0,263;0,13;0,01;0,09
0,230;-0,263;0,12;0,02;-1,17
0,240;-0,260;0,12;-0,03;-1,81
0,250;-0,265;0,12;-0,04;-0,65
0,260;-0,261;0,12;-0,04;1,38
0,270;-0,268;0,12;-0,01;2,80
0,280;-0,260;0,12;0,02;3,30
0,290;-0,263;0,12;0,07;1,88
0,300;-0,265;0,12;0,08;-0,04
0,310;-0,265;0,13;0,05;-1,59
0,320;-0,265;0,13;0,04;-1,28
0,330;-0,261;0,13;0,01;-0,25
0,340;-0,261;0,13;0,04;0,10
0,350;-0,267;0,13;0,03;0,12
0,360;-0,265;0,13;0,02;-0,57
0,370;-0,263;0,13;0,03;-0,66
0,380;-0,265;0,13;0,00;-0,78
0,390;-0,260;0,13;0,01;-0,27
0,400;-0,268;0,13;0,00;0,71
0,410;-0,272;0,13;0,02;0,97
0,420;-0,252;0,13;0,03;0,69
0,430;-0,272;0,13;0,03;0,04
0,440;-0,267;0,13;0,03;0,13
0,450;-0,260;0,13;0,03;0,51
0,460;-0,276;0,13;0,04;0,99
0,470;-0,251;0,13;0,05;1,44
0,480;-0,265;0,13;0,07;1,29
0,490;-0,265;0,13;0,09;0,11
0,500;-0,265;0,13;0,08;-1,60
0,510;-0,268;0,13;0,05;-2,32
0,520;-0,260;0,13;0,02;-1,60
0,530;-0,256;0,13;0,01;-0,96
0,540;-0,268;0,13;0,02;-0,77
0,550;-0,267;0,13;-0,01;-0,71
0,560;-0,261;0,13;-0,01;0,29
0,570;-0,260;0,13;-0,01;1,46
0,580;-0,267;0,13;0,03;0,87
0,590;-0,265;0,13;0,04;-0,56
0,600;-0,263;0,13;4,46E-4;-2,18
0,610;-0,261;0,13;-0,01;-2,73
0,620;-0,261;0,13;-0,05;-2,73
0,630;-0,263;0,13;-0,07;-1,54
0,640;-0,260;0,13;-0,10;2,37
0,650;-0,256;0,13;-0,05;6,76
0,660;-0,265;0,13;0,07;8,82
0,670;-0,265;0,13;0,16;6,87
0,680;-0,256;0,13;0,21;3,29
0,690;-0,268;0,14;0,21;0,94
0,700;-0,258;0,14;0,21;0,14
0,710;-0,268;0,14;0,22;0,24
0,720;-0,263;0,14;0,22;0,24
0,730;-0,256;0,15;0,22;0,15
0,740;-0,274;0,15;0,22;0,05
0,750;-0,254;0,15;0,22;0,04
0,760;-0,258;0,15;0,22;0,14
0,770;-0,268;0,15;0,23;0,24
0,780;-0,256;0,16;0,23;0,24
0,790;-0,263;0,16;0,23;0,15
0,800;-0,252;0,16;0,23;0,09
0,810;-0,270;0,16;0,23;0,14
0,820;-0,263;0,17;0,23;0,24
0,830;-0,247;0,17;0,24;0,24
0,840;-0,274;0,17;0,24;0,19
0,850;-0,256;0,17;0,24;0,19
0,860;-0,260;0,18;0,24;0,19
0,870;-0,270;0,18;0,25;0,15
0,880;-0,254;0,18;0,25;0,07
0,890;-0,265;0,18;0,25;-0,37
0,900;-0,260;0,18;0,25;-1,39
0,910;-0,272;0,19;0,22;-2,19
0,920;-0,256;0,19;0,19;-1,50
0,930;-0,261;0,19;0,18;0,67
0,940;-0,267;0,19;0,20;2,39
0,950;-0,261;0,20;0,25;2,36
0,960;-0,263;0,20;0,26;1,15
0,970;-0,263;0,20;0,26;0,16
0,980;-0,260;0,20;0,26;-0,10
0,990;-0,270;0,21;0,26;-0,09
1,000;-0,258;0,21;0,26;-0,12
1,010;-0,265;0,21;0,26;-0,45
1,020;-0,258;0,21;0,25;-0,94
1,030;-0,267;0,22;0,24;-1,18
1,040;-0,263;0,22;0,22;-0,69
1,050;-0,256;0,22;0,22;0,42
1,060;-0,277;0,22;0,23;1,31
1,070;-0,249;0,22;0,25;1,73
1,080;-0,261;0,23;0,27;1,61
1,090;-0,276;0,23;0,29;1,14
1,100;-0,247;0,23;0,29;0,55
1,110;-0,276;0,24;0,29;0,14
1,120;-0,268;0,24;0,29;0,14
1,130;-0,238;0,24;0,29;0,19
1,140;-0,283;0,24;0,30;0,19
1,150;-0,251;0,25;0,30;0,19
1,160;-0,260;0,25;0,30;0,19
1,170;-0,277;0,25;0,30;0,15
1,180;-0,254;0,26;0,30;0,05
1,190;-0,268;0,26;0,30;0,04
1,200;-0,272;0,26;0,30;0,14
1,210;-0,249;0,27;0,31;0,19
1,220;-0,283;0,27;0,31;0,15
1,230;-0,249;0,27;0,31;0,05
1,240;-0,274;0,28;0,31;0,00
1,250;-0,267;0,28;0,31;0,04
1,260;-0,251;0,28;0,31;0,14
1,270;-0,283;0,28;0,31;0,20
1,280;-0,252;0,29;0,32;0,11
1,290;-0,274;0,29;0,32;-0,05
1,300;-0,274;0,29;0,31;-0,06
1,310;-0,252;0,30;0,31;0,08
1,320;-0,281;0,30;0,31;0,24
1,330;-0,252;0,30;0,32;0,25
1,340;-0,274;0,31;0,32;0,15
1,350;-0,268;0,31;0,32;0,05
1,360;-0,251;0,31;0,32;0,04
1,370;-0,279;0,32;0,32;0,10
1,380;-0,260;0,32;0,32;0,05
1,390;-0,256;0,32;0,32;-0,01
1,400;-0,281;0,33;0,32;0,08
1,410;-0,235;0,33;0,32;0,28
1,420;-0,290;0,33;0,33;0,34
1,430;-0,245;0,34;0,33;0,24
1,440;-0,265;0,34;0,33;0,19
1,450;-0,268;0,34;0,33;0,20
1,460;-0,261;0,35;0,34;0,15
1,470;-0,270;0,35;0,34;0,10
1,480;-0,252;0,35;0,34;0,10
1,490;-0,288;0,36;0,34;0,06
1,500;-0,256;0,36;0,34;-0,04
1,510;-0,268;0,36;0,34;-0,11
1,520;-0,263;0,37;0,34;0,02
1,530;-0,265;0,37;0,34;0,30
1,540;-0,272;0,37;0,34;0,61
1,550;-0,261;0,38;0,35;0,72
1,560;-0,267;0,38;0,36;0,29
1,570;-0,261;0,38;0,36;-0,59
1,580;-0,267;0,39;0,35;-1,38
1,590;-0,270;0,39;0,33;-1,45
1,600;-0,261;0,39;0,31;-0,88
1,610;-0,272;0,40;0,31;-0,28
1,620;-0,263;0,40;0,31;0,09
1,630;-0,261;0,40;0,31;0,55
1,640;-0,279;0,41;0,32;1,21
1,650;-0,238;0,41;0,34;1,52
1,660;-0,288;0,41;0,36;1,21
1,670;-0,251;0,42;0,36;0,62
1,680;-0,268;0,42;0,37;0,16
1,690;-0,283;0,42;0,37;-0,03
1,700;-0,242;0,43;0,36;0,17
1,710;-0,294;0,43;0,36;0,73
1,720;-0,252;0,43;0,38;1,10
1,730;-0,270;0,44;0,39;0,76
1,740;-0,256;0,44;0,40;-0,03
1,750;-0,272;0,45;0,39;-0,60
1,760;-0,254;0,45;0,38;-0,44
1,770;-0,272;0,45;0,38;0,35
1,780;-0,261;0,46;0,39;1,37
1,790;-0,267;0,46;0,41;1,95
1,800;-0,268;0,47;0,43;1,68
1,810;-0,251;0,47;0,45;0,84
1,820;-0,279;0,48;0,45;0,15
1,830;-0,247;0,48;0,44;0,31
1,840;-0,283;0,48;0,45;1,18
1,850;-0,249;0,49;0,47;1,83
1,860;-0,272;0,49;0,49;0,95
1,870;-0,252;0,50;0,50;-1,64
1,880;-0,277;0,50;0,47;-4,72
1,890;-0,247;0,51;0,40;-6,00
1,900;-0,276;0,51;0,32;-4,90
1,910;-0,252;0,51;0,29;-2,36
1,920;-0,267;0,52;0,28;-0,09
1,930;-0,260;0,52;0,30;1,12
1,940;-0,265;0,52;0,31;0,31
1,950;-0,265;0,53;0,33;-2,81
1,960;-0,258;0,53;0,26;-5,04
1,970;-0,272;0,53;0,17;-3,17
1,980;-0,251;0,53;0,16;2,52
1,990;-0,268;0,53;0,24;6,26
2,000;-0,260;0,54;0,35;5,54
2,010;-0,261;0,54;0,36;2,61
2,020;-0,252;0,54;0,37;0,62
2,030;-0,272;0,55;0,37;0,29
2,040;-0,240;0,55;0,37;0,27
2,050;-0,279;0,56;0,38;0,39
2,060;-0,274;0,56;0,38;0,36
2,070;-0,197;0,56;0,39;0,21
2,080;-0,286;0,57;0,39;0,05
2,090;-0,283;0,57;0,39;0,04
2,100;-0,215;0,58;0,39;0,10
2,110;-0,283;0,58;0,39;0,11
2,120;-0,254;0,58;0,39;-0,16
2,130;-0,247;0,59;0,39;-0,82
2,140;-0,252;0,59;0,38;-1,83
2,150;-0,336;0,59;0,35;-3,11
2,160;-0,365;0,60;0,32;-4,43
2,170;-0,333;0,60;0,26;-5,60
2,180;-0,413;0,60;0,20;-6,38
2,190;-0,349;0,61;0,13;-6,76
2,200;-0,379;0,61;0,06;-6,89
2,210;-0,426;0,61;-0,01;-6,84
2,220;-0,392;0,61;-0,07;-6,59
2,230;-0,460;0,61;-0,14;-6,10
2,240;-0,438;0,60;-0,20;-5,45
2,250;-0,410;0,60;-0,25;-4,71
2,260;-0,435;0,60;-0,29;-3,79
2,270;-0,385;0,60;-0,33;-2,65
2,280;-0,363;0,59;-0,35;-1,40
2,290;-0,294;0,59;-0,35;-0,42
2,300;-0,231;0,58;-0,35;0,12
2,310;-0,308;0,58;-0,35;0,29
2,320;-0,238;0,58;-0,34;0,29
2,330;-0,317;0,57;-0,34;0,28
2,340;-0,265;0,57;-0,34;0,32
2,350;-0,217;0,57;-0,34;0,42
2,360;-0,353;0,56;-0,33;0,49
2,370;-0,229;0,56;-0,32;0,44
2,380;-0,235;0,56;-0,32;0,37
2,390;-0,311;0,55;-0,32;0,44
2,400;-0,267;0,55;-0,31;0,46
2,410;-0,267;0,55;-0,31;1,94
