"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
1,420;-0,480;0,42;0,70;2,32
1,430;-0,422;0,43;0,72;1,67
1,440;-0,397;0,44;0,74;0,89
1,450;-0,478;0,45;0,74;0,19
1,460;-0,463;0,45;0,73;0,08
1,470;-0,390;0,46;0,74;0,63
1,480;-0,395;0,47;0,75;0,73
1,490;-0,506;0,47;0,77;-0,35
1,500;-0,447;0,48;0,75;-1,99
1,510;-0,369;0,49;0,72;-3,28
1,520;-0,449;0,50;0,68;-3,18
1,530;-0,512;0,50;0,64;-1,70
1,540;-0,428;0,51;0,64;0,56
1,550;-0,385;0,52;0,66;2,17
1,560;-0,469;0,52;0,70;2,09
1,570;-0,485;0,53;0,71;1,12
1,580;-0,404;0,54;0,71;0,49
1,590;-0,387;0,54;0,71;0,67
1,600;-0,456;0,55;0,72;1,01
1,610;-0,469;0,56;0,74;1,00
1,620;-0,424;0,57;0,75;0,74
1,630;-0,345;0,57;0,75;0,33
1,640;-0,428;0,58;0,75;-0,39
1,650;-0,467;0,59;0,75;-1,59
1,660;-0,446;0,60;0,73;-3,29
1,670;-0,590;0,60;0,68;-5,36
1,680;-0,728;0,61;0,62;-7,57
1,690;-0,746;0,62;0,53;-9,74
1,700;-0,814;0,62;0,42;-11,35
1,710;-0,077;0,62;0,30;-11,96
1,720;-0,152;0,63;0,18;-11,75
1,730;-1,596;0,63;0,06;-11,38
1,740;-3,457;0,63;-0,05;-11,36
1,750;-0,959;0,63;-0,16;-11,30
1,760;-0,093;0,62;-0,28;-10,59
1,770;-0,333;0,62;-0,38;-9,26
1,780;-1,798;0,62;-0,46;-7,85
1,790;-1,844;0,61;-0,53;-6,66
1,800;-0,319;0,61;-0,60;-5,16
1,810;-0,154;0,60;-0,65;-3,08
1,820;-0,698;0,59;-0,66;-0,98
1,830;-1,050;0,59;-0,66;0,34
1,840;-0,306;0,58;-0,65;0,90
1,850;-0,034;0,57;-0,64;1,03
1,860;-0,229;0,57;-0,62;2,85
1,870;-0,805;0,56;-0,62;6,09
1,880;-0,619;0,56;-0,50;7,35
1,890;-0,170;0,55;-0,40;3,88
1,900;-0,306;0,55;-0,40;-2,16
1,910;-0,653;0,54;-0,48;-4,19
1,920;-0,565;0,54;-0,55;-2,05
1,930;-0,265;0,53;-0,51;1,61
1,940;-0,294;0,53;-0,50;3,50
1,950;-0,598;0,52;-0,43;2,03
1,960;-0,573;0,52;-0,41;-2,82
1,970;-0,290;0,52;-0,47;-9,02
1,980;-0,285;0,51;-0,63;-10,99
1,990;-0,615;0,50;-0,76;-7,63
2,000;-0,553;0,49;-0,79;-1,47
2,010;-0,288;0,49;-0,77;3,47
2,020;-0,340;0,48;-0,70;5,67
2,030;-0,565;0,47;-0,64;5,84
2,040;-0,512;0,47;-0,58;4,59
2,050;-0,324;0,46;-0,54;2,89
2,060;-0,372;0,45;-0,52;1,28
2,070;-0,564;0,45;-0,52;0,57
2,080;-0,462;0,44;-0,52;0,98
2,090;-0,319;0,44;-0,51;1,63
2,100;-0,446;0,43;-0,48;1,69
2,110;-0,522;0,43;-0,47;1,19
2,120;-0,406;0,42;-0,46;0,82
2,130;-0,374;0,42;-0,46;1,16
2,140;-0,449;0,42;-0,44;1,92
2,150;-0,492;0,41;-0,41;2,34
2,160;-0,406;0,41;-0,39;2,03
2,170;-0,394;0,40;-0,37;1,44
2,180;-0,474;0,40;-0,36;1,07
2,190;-0,481;0,40;-0,35;0,53
2,200;-0,378;0,39;-0,34;-0,42
2,210;-0,410;0,39;-0,36;-1,06
2,220;-0,487;0,39;-0,38;-0,60
2,230;-0,429;0,38;-0,38;0,55
2,240;-0,392;0,38;-0,36;1,25
2,250;-0,438;0,37;-0,35;1,22
2,260;-0,474;0,37;-0,34;0,95
2,270;-0,428;0,37;-0,33;
2,280;-0,410;0,36;-0,32;
2,290;-0,438;0,36;;
2,300;-0,463;;;
