"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,000;-0,485;0,13;;
0,010;-0,483;0,13;-0,18;
0,020;-0,478;0,13;-0,16;3,02
0,030;-0,478;0,13;-0,12;4,03
0,040;-0,481;0,13;-0,06;4,35
0,050;-0,480;0,13;-0,03;4,28
0,060;-0,480;0,13;0,02;3,74
0,070;-0,480;0,13;0,06;2,24
0,080;-0,480;0,13;0,07;-0,18
0,090;-0,478;0,13;0,05;-1,77
0,100;-0,481;0,13;0,01;-1,80
0,110;-0,483;0,13;0,01;-0,89
0,120;-0,478;0,13;0,00;-0,15
0,130;-0,483;0,13;0,01;0,09
0,140;-0,478;0,13;0,01;0,24
0,150;-0,481;0,13;0,01;0,34
0,160;-0,480;0,13;0,01;0,26
0,170;-0,478;0,13;0,02;-0,17
0,180;-0,483;0,13;0,01;-0,62
0,190;-0,476;0,13;2,18E-4;-0,64
0,200;-0,474;0,13;-0,01;-0,21
0,210;-0,480;0,13;0,00;0,24
0,220;-0,474;0,13;0,00;0,29
0,230;-0,472;0,13;0,01;0,10
0,240;-0,476;0,13;0,00;-0,05
0,250;-0,478;0,13;0,00;-0,01
0,260;-0,480;0,13;0,00;0,23
0,270;-0,474;0,13;0,01;0,43
0,280;-0,480;0,13;0,01;0,46
0,290;-0,478;0,13;0,02;-0,31
0,300;-0,471;0,13;0,02;-2,32
0,310;-0,469;0,13;-0,02;-4,30
0,320;-0,488;0,13;-0,09;-4,40
0,330;-0,440;0,13;-0,13;-1,82
0,340;-0,417;0,13;-0,13;2,11
0,350;-0,426;0,13;-0,09;7,14
0,360;-0,447;0,13;-0,01;13,25
0,370;-0,426;0,13;0,18;12,34
0,380;-0,415;0,13;0,40;-1,53
0,390;-0,437;0,14;0,24;-17,12
0,400;-0,435;0,14;-0,17;-16,35
0,410;-0,410;0,13;-0,28;-0,18
0,420;-0,428;0,13;-0,06;8,22
0,430;-0,454;0,13;0,12;1,74
0,440;-0,431;0,13;-0,07;-3,83
0,450;-0,410;0,13;-0,16;-0,73
0,460;-0,433;0,13;-0,01;2,53
0,470;-0,437;0,13;0,01;0,01
0,480;-0,419;0,13;-0,09;-1,51
0,490;-0,424;0,13;-0,08;0,67
0,500;-0,433;0,13;-0,01;0,74
0,510;-0,440;0,13;-0,03;-1,33
0,520;-0,422;0,12;-0,10;-0,42
0,530;-0,419;0,13;-0,07;1,95
0,540;-0,428;0,13;0,01;2,22
0,550;-0,428;0,13;-0,01;0,41
0,560;-0,424;0,12;-0,02;-0,42
0,570;-0,442;0,12;-0,02;0,60
0,580;-0,437;0,12;-0,01;1,16
0,590;-0,422;0,12;0,01;0,71
0,600;-0,415;0,12;0,02;-0,37
0,610;-0,435;0,13;-0,01;-0,71
0,620;-0,442;0,12;-0,02;0,39
0,630;-0,419;0,12;0,00;1,52
0,640;-0,419;0,12;0,03;1,69
0,650;-0,442;0,13;0,04;1,26
0,660;-0,442;0,12;0,05;0,87
0,670;-0,413;0,13;0,06;0,54
0,680;-0,426;0,13;0,06;0,25
0,690;-0,444;0,13;0,06;-0,06
0,700;-0,429;0,13;0,07;-0,98
0,710;-0,408;0,13;0,05;-1,67
0,720;-0,451;0,13;0,01;-0,53
0,730;-0,446;0,13;0,02;2,27
0,740;-0,401;0,13;0,07;4,20
0,750;-0,435;0,13;0,13;3,00
0,760;-0,431;0,13;0,15;-0,46
0,770;-0,435;0,13;0,11;-3,42
0,780;-0,419;0,13;0,06;-3,89
0,790;-0,421;0,13;0,02;-2,15
0,800;-0,447;0,13;0,01;-0,77
0,810;-0,422;0,13;0,03;-1,78
0,820;-0,421;0,13;4,97E-5;-4,01
0,830;-0,429;0,14;-0,08;-3,16
0,840;-0,433;0,13;-0,12;3,19
0,850;-0,424;0,13;-0,04;11,06
0,860;-0,419;0,13;0,15;14,17
0,870;-0,437;0,14;0,31;10,76
0,880;-0,428;0,14;0,38;5,14
0,890;-0,413;0,14;0,38;1,61
0,900;-0,431;0,15;0,39;0,57
0,910;-0,449;0,15;0,39;0,57
0,920;-0,426;0,15;0,40;0,53
0,930;-0,417;0,16;0,41;0,48
0,940;-0,422;0,16;0,41;0,47
0,950;-0,446;0,17;0,41;0,52
0,960;-0,440;0,17;0,42;0,57
0,970;-0,406;0,18;0,43;0,60
0,980;-0,403;0,18;0,43;0,16
0,990;-0,478;0,18;0,44;-0,96
1,000;-0,431;0,19;0,42;-1,85
1,010;-0,395;0,19;0,38;-1,22
1,020;-0,428;0,20;0,38;0,92
1,030;-0,462;0,20;0,41;2,43
1,040;-0,422;0,20;0,45;1,83
1,050;-0,406;0,21;0,46;-0,13
1,060;-0,440;0,21;0,44;-1,34
1,070;-0,454;0,22;0,41;-0,56
1,080;-0,422;0,22;0,41;1,52
1,090;-0,410;0,23;0,45;3,14
1,100;-0,431;0,23;0,49;3,21
1,110;-0,454;0,24;0,52;2,16
1,120;-0,424;0,24;0,53;1,12
1,130;-0,417;0,25;0,54;0,68
1,140;-0,465;0,25;0,54;0,53
1,150;-0,454;0,26;0,55;0,44
1,160;-0,370;0,26;0,55;0,33
1,170;-0,426;0,27;0,56;0,33
1,180;-0,471;0,27;0,56;0,42
1,190;-0,435;0,28;0,56;0,52
1,200;-0,399;0,28;0,57;0,53
1,210;-0,426;0,29;0,57;0,47
1,220;-0,485;0,30;0,58;0,51
1,230;-0,446;0,30;0,58;0,65
1,240;-0,374;0,31;0,59;0,81
1,250;-0,440;0,31;0,60;0,81
1,260;-0,487;0,32;0,61;0,76
1,270;-0,417;0,33;0,61;0,76
1,280;-0,395;0,33;0,62;0,81
1,290;-0,454;0,34;0,63;0,78
1,300;-0,467;0,34;0,64;0,57
1,310;-0,412;0,35;0,64;0,53
1,320;-0,399;0,36;0,65;0,91
1,330;-0,476;0,36;0,66;1,43
1,340;-0,451;0,37;0,68;1,13
1,350;-0,426;0,38;0,69;-0,46
1,360;-0,415;0,38;0,68;-2,45
1,370;-0,454;0,39;0,63;-2,98
1,380;-0,458;0,40;0,59;-1,16
1,390;-0,422;0,40;0,60;1,60
1,400;-0,428;0,41;0,64;3,21
1,410;-0,449;0,42;0,68;3,09
