"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,500;1,320;0,13;0,08;1,38
0,510;1,366;0,13;0,11;0,42
0,520;1,300;0,13;0,11;-1,85
0,530;1,257;0,13;0,06;-2,42
0,540;1,341;0,13;0,02;-0,22
0,550;1,373;0,13;0,06;1,89
0,560;1,287;0,13;0,10;1,19
0,570;1,279;0,13;0,09;-1,25
0,580;1,345;0,13;0,06;-2,31
0,590;1,359;0,13;0,03;-1,75
0,600;1,304;0,13;0,03;-2,11
0,610;1,268;0,13;0,01;-4,43
0,620;1,312;0,13;-0,06;-4,96
0,630;1,393;0,13;-0,15;0,77
0,640;1,343;0,13;-0,10;10,53
0,650;1,286;0,13;0,10;16,38
0,660;1,304;0,13;0,32;13,77
0,670;1,316;0,14;0,41;6,91
0,680;1,300;0,14;0,41;2,00
0,690;1,286;0,15;0,42;0,66
0,700;1,339;0,15;0,43;0,76
0,710;1,388;0,15;0,44;0,72
0,720;1,327;0,16;0,44;0,66
0,730;1,239;0,16;0,45;0,76
0,740;1,268;0,17;0,46;0,86
0,750;1,393;0,17;0,47;0,81
0,760;1,352;0,18;0,48;0,02
0,770;1,282;0,18;0,48;-1,35
0,780;1,289;0,19;0,45;-2,07
0,790;1,338;0,19;0,41;-0,99
0,800;1,321;0,19;0,42;1,43
0,810;1,268;0,20;0,45;2,50
0,820;1,314;0,20;0,50;1,34
0,830;1,405;0,21;0,49;-0,43
0,840;1,357;0,21;0,46;-0,59
0,850;1,239;0,22;0,46;1,18
0,860;1,194;0,22;0,49;2,93
0,870;1,304;0,23;0,53;3,35
0,880;1,436;0,23;0,57;2,45
0,890;1,318;0,24;0,58;1,32
0,900;1,259;0,25;0,59;0,76
0,910;1,386;0,25;0,59;0,71
0,920;1,384;0,26;0,60;0,76
0,930;1,234;0,26;0,61;0,72
0,940;1,214;0,27;0,61;0,58
0,950;1,334;0,28;0,62;0,43
0,960;1,405;0,28;0,62;0,37
0,970;1,343;0,29;0,63;0,45
0,980;1,257;0,29;0,63;0,70
0,990;1,350;0,30;0,64;0,90
1,000;1,363;0,31;0,65;0,91
1,010;1,273;0,31;0,66;0,81
1,020;1,236;0,32;0,67;0,75
1,030;1,282;0,33;0,67;0,84
1,040;1,414;0,33;0,68;0,99
1,050;1,398;0,34;0,69;1,06
1,060;1,341;0,35;0,71;0,96
1,070;1,248;0,35;0,71;0,80
1,080;1,237;0,36;0,72;0,91
1,090;1,266;0,37;0,73;0,91
1,100;1,321;0,38;0,75;0,10
1,110;1,329;0,38;0,74;-1,35
1,120;1,355;0,39;0,71;-1,90
1,130;1,366;0,40;0,68;-0,39
1,140;1,309;0,40;0,69;1,85
1,150;1,239;0,41;0,74;3,24
1,160;1,266;0,42;0,77;3,22
1,170;1,305;0,43;0,80;2,51
1,180;1,316;0,44;0,82;1,77
1,190;1,379;0,44;0,83;1,28
1,200;1,400;0,45;0,84;1,05
1,210;1,295;0,46;0,86;0,15
1,220;1,191;0,47;0,86;-1,95
1,230;1,253;0,48;0,82;-4,26
1,240;1,350;0,49;0,76;-4,76
1,250;1,314;0,49;0,70;-2,88
1,260;1,293;0,50;0,69;0,09
1,270;1,366;0,51;0,72;2,31
1,280;1,375;0,51;0,75;2,92
1,290;1,261;0,52;0,78;2,49
1,300;1,180;0,53;0,80;1,71
1,310;1,205;0,54;0,82;1,06
1,320;1,339;0,55;0,82;0,63
1,330;1,463;0,55;0,83;0,51
1,340;1,432;0,56;0,83;0,64
1,350;1,339;0,57;0,84;0,60
1,360;1,282;0,58;0,85;0,01
1,370;1,212;0,59;0,84;-1,31
1,380;1,219;0,60;0,83;-3,24
1,390;1,132;0,60;0,78;-5,55
1,400;0,992;0,61;0,72;-8,01
1,410;0,885;0,62;0,62;-10,35
1,420;1,203;0,63;0,51;-12,21
1,430;1,770;0,63;0,37;-13,03
1,440;1,389;0,63;0,23;-12,93
1,450;-0,927;0,63;0,11;-12,60
1,460;-2,202;0,63;-0,01;-12,64
1,470;0,901;0,63;-0,14;-12,69
1,480;1,715;0,63;-0,27;-11,96
1,490;1,615;0,63;-0,39;-10,45
1,500;-0,079;0,62;-0,48;-8,81
1,510;-0,930;0,62;-0,56;-7,57
1,520;0,917;0,61;-0,63;-6,37
1,530;1,710;0,61;-0,69;-4,60
1,540;1,384;0,60;-0,73;-2,37
1,550;0,508;0,59;-0,74;-0,44
1,560;0,951;0,58;-0,73;0,54
1,570;1,767;0,58;-0,72;0,79
1,580;1,774;0,57;-0,71;0,91
1,590;1,570;0,56;-0,70;0,96
1,600;0,717;0,56;-0,69;2,73
1,610;0,803;0,55;-0,69;5,53
1,620;1,608;0,54;-0,57;6,48
1,630;1,751;0,53;-0,49;3,99
1,640;1,565;0,54;-0,49;0,70
1,650;1,019;0,53;-0,52;1,21
1,660;0,914;0,52;-0,50;1,94
1,670;1,311;0,52;-0,42;-1,14
1,680;1,554;0,51;-0,48;-7,40
1,690;1,404;0,51;-0,61;-11,30
1,700;1,193;0,50;-0,75;-9,25
1,710;1,307;0,49;-0,82;-3,61
1,720;1,434;0,48;-0,82;2,20
1,730;1,279;0,48;-0,76;5,35
1,740;1,180;0,47;-0,69;5,79
1,750;1,304;0,46;-0,63;4,24
1,760;1,386;0,46;-0,59;2,25
1,770;1,373;0,45;-0,60;1,08
1,780;1,325;0,44;-0,59;1,22
1,790;1,302;0,44;-0,57;1,92
1,800;1,314;0,43;-0,54;1,98
1,810;1,287;0,43;-0,53;1,46
1,820;1,234;0,42;-0,52;1,23
1,830;1,291;0,42;-0,51;1,74
1,840;1,384;0,41;-0,49;2,53
1,850;1,409;0,41;-0,45;2,74
1,860;1,282;0,40;-0,42;1,92
1,870;1,250;0,40;-0,41;0,64
1,880;1,350;0,40;-0,42;-0,46
1,890;1,305;0,39;-0,42;-0,73
1,900;1,232;0,39;-0,44;-0,19
1,910;1,352;0,38;-0,43;0,70
1,920;1,472;0,38;-0,42;1,38
1,930;1,366;0,37;-0,40;1,47
1,940;1,207;0,37;-0,39;1,19
1,950;1,171;0,37;-0,38;0,83
1,960;1,304;0,36;-0,37;0,66
1,970;1,414;0,36;-0,37;0,75
1,980;1,327;0,36;-0,36;0,94
1,990;1,343;0,35;-0,35;1,10
2,000;1,386;0,35;-0,33;1,15
2,010;1,311;0,35;-0,32;1,15
2,020;1,175;0,34;-0,31;1,15
2,030;1,243;0,34;-0,30;1,19
2,040;1,416;0,34;-0,29;1,25
2,050;1,441;0,33;-0,27;1,21
2,060;1,282;0,33;-0,26;1,07
2,070;1,212;0,33;-0,25;0,91
2,080;1,389;0,33;-0,24;0,91
2,090;1,380;0,32;-0,24;0,95
2,100;1,196;0,32;-0,22;1,00
2,110;1,287;0,32;-0,22;1,05
2,120;1,457;0,32;-0,20;1,06
2,130;1,372;0,31;-0,19;1,01
2,140;1,178;0,31;-0,18;0,95
2,150;1,245;0,31;-0,18;1,04
2,160;1,463;0,31;-0,16;1,15
2,170;1,389;0,31;-0,15;1,11
2,180;1,196;0,31;-0,14;0,96
2,190;1,237;0,30;-0,13;0,90
2,200;1,425;0,30;-0,12;0,96
2,210;1,398;0,30;-0,11;0,96
2,220;1,230;0,30;-0,10;0,96
2,230;1,232;0,30;-0,10;0,96
2,240;1,379;0,30;-0,08;0,96
2,250;1,377;0,30;-0,08;0,91
2,260;1,257;0,30;-0,07;0,90
2,270;1,279;0,30;-0,06;1,00
2,280;1,364;0,30;-0,05;1,06
2,290;1,348;0,30;-0,04;1,01
2,300;1,255;0,30;-0,03;0,91
2,310;1,280;0,30;-0,02;0,86
2,320;1,363;0,30;-0,01;0,90
2,330;1,336;0,30;-9,85E-4;1,00
2,340;1,277;0,30;0,01;1,06
2,350;1,304;0,30;0,02;0,92
2,360;1,348;0,30;0,03;
2,370;1,318;0,30;0,03;
2,380;1,289;0,30;;
2,390;1,327;;;
