"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,000;1,293;0,13;;
0,010;1,295;0,13;-0,09;
0,020;1,230;0,13;-0,07;1,81
0,030;1,228;0,13;-0,05;1,56
0,040;1,271;0,13;-0,03;1,51
0,050;1,255;0,13;-0,03;2,12
0,060;1,241;0,13;0,00;3,02
0,070;1,245;0,13;0,04;2,84
0,080;1,228;0,13;0,07;0,98
0,090;1,246;0,13;0,07;-1,11
0,100;1,291;0,13;0,04;-2,07
0,110;1,286;0,13;0,01;-1,70
0,120;1,237;0,13;0,00;-0,91
0,130;1,198;0,13;1,09E-4;-0,87
0,140;1,218;0,13;0,00;-1,82
0,150;1,275;0,13;-0,03;-3,01
0,160;1,309;0,13;-0,07;-3,00
0,170;1,296;0,13;-0,11;-0,74
0,180;1,291;0,13;-0,11;4,88
0,190;1,305;0,13;-0,04;12,76
0,200;1,329;0,13;0,15;13,37
0,210;1,312;0,13;0,40;0,01
0,220;1,296;0,14;0,26;-15,91
0,230;1,316;0,14;-0,15;-15,31
0,240;1,341;0,13;-0,26;0,22
0,250;1,330;0,13;-0,01;7,08
0,260;1,318;0,13;0,13;-0,83
0,270;1,307;0,13;-0,11;-6,79
0,280;1,314;0,13;-0,21;-2,61
0,290;1,305;0,13;-0,08;3,50
0,300;1,311;0,13;-0,06;3,21
0,310;1,336;0,13;-0,05;1,78
0,320;1,323;0,12;-0,04;1,57
0,330;1,318;0,13;0,01;0,40
0,340;1,336;0,13;-0,03;-0,13
0,350;1,334;0,13;-0,04;-0,37
0,360;1,295;0,13;0,00;-0,60
0,370;1,307;0,13;-0,04;-1,09
0,380;1,325;0,12;-0,06;-0,16
0,390;1,321;0,12;-0,04;1,76
0,400;1,312;0,12;-0,01;2,12
0,410;1,332;0,12;0,01;1,61
0,420;1,338;0,12;0,02;0,76
0,430;1,311;0,13;0,04;-0,45
0,440;1,298;0,13;0,01;-1,18
0,450;1,304;0,13;-0,01;-0,22
0,460;1,327;0,12;0,00;1,93
0,470;1,348;0,13;0,04;2,66
0,480;1,330;0,13;0,07;1,83
0,490;1,298;0,13;0,07;1,29
