"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
2,000;-0,590;0,54;-0,42;7,01
2,010;-0,596;0,53;-0,32;3,72
2,020;-0,542;0,53;-0,32;-2,14
2,030;-0,567;0,53;-0,41;-3,37
2,040;-0,571;0,52;-0,46;0,11
2,050;-0,580;0,52;-0,38;2,47
2,060;-0,544;0,51;-0,34;0,63
2,070;-0,560;0,51;-0,38;-3,51
2,080;-0,594;0,51;-0,43;-6,28
2,090;-0,540;0,50;-0,51;-7,25
2,100;-0,580;0,50;-0,59;-6,10
2,110;-0,562;0,49;-0,65;-2,73
2,120;-0,558;0,48;-0,65;1,16
2,130;-0,564;0,48;-0,61;3,76
2,140;-0,551;0,47;-0,56;4,46
2,150;-0,585;0,47;-0,52;3,85
2,160;-0,567;0,46;-0,48;2,71
2,170;-0,549;0,46;-0,46;1,41
2,180;-0,578;0,45;-0,45;0,44
2,190;-0,583;0,45;-0,46;0,30
2,200;-0,553;0,44;-0,46;0,93
2,210;-0,573;0,44;-0,44;1,63
2,220;-0,581;0,43;-0,42;1,65
2,230;-0,558;0,43;-0,40;1,10
2,240;-0,567;0,43;-0,40;0,67
2,250;-0,560;0,42;-0,39;0,63
2,260;-0,581;0,42;-0,38;0,94
2,270;-0,576;0,42;-0,38;1,48
2,280;-0,535;0,41;-0,36;2,02
2,290;-0,587;0,41;-0,33;2,04
2,300;-0,569;0,40;-0,31;1,37
2,310;-0,551;0,40;-0,30;0,70
2,320;-0,569;0,40;-0,30;0,41
2,330;-0,571;0,40;-0,29;0,20
2,340;-0,573;0,39;-0,29;-0,29
2,350;-0,544;0,39;-0,30;-0,75
2,360;-0,569;0,39;-0,31;-0,52
2,370;-0,571;0,38;-0,32;0,26
2,380;-0,565;0,38;-0,31;1,03
2,390;-0,549;0,38;-0,29;1,31
2,400;-0,580;0,37;-0,28;1,13
2,410;-0,562;0,37;-0,27;0,83
2,420;-0,547;0,37;-0,26;0,63
2,430;-0,578;0,37;-0,26;0,57
2,440;-0,547;0,36;-0,25;0,57
2,450;-0,564;0,36;-0,24;0,57
2,460;-0,569;0,36;-0,24;0,57
2,470;-0,558;0,36;-0,23;0,61
2,480;-0,558;0,35;-0,23;0,71
2,490;-0,569;0,35;-0,22;0,81
2,500;-0,562;0,35;-0,21;0,82
2,510;-0,553;0,35;-0,20;0,72
2,520;-0,574;0,35;-0,20;0,67
2,530;-0,569;0,34;-0,19;
2,540;-0,558;0,34;-0,18;
2,550;-0,553;0,34;;
2,560;-0,571;;;
