"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,000;-0,608;0,13;;
0,010;-0,592;0,13;-0,04;
0,020;-0,589;0,13;-0,04;0,23
0,030;-0,592;0,13;-0,04;0,65
0,040;-0,592;0,13;-0,03;0,85
0,050;-0,592;0,13;-0,02;1,00
0,060;-0,594;0,13;-0,01;1,06
0,070;-0,596;0,13;0,01;0,79
0,080;-0,596;0,13;0,01;0,16
0,090;-0,598;0,13;0,01;-0,29
0,100;-0,592;0,13;0,00;-0,25
0,110;-0,592;0,13;-1,06E-4;-0,05
0,120;-0,592;0,13;0,00;-0,09
0,130;-0,590;0,13;2,11E-4;-0,24
0,140;-0,592;0,13;-0,01;-0,20
0,150;-0,598;0,13;-0,01;0,04
0,160;-0,598;0,13;0,00;0,19
0,170;-0,599;0,13;0,00;0,19
0,180;-0,599;0,13;-1,06E-4;0,19
0,190;-0,599;0,13;0,00;0,20
0,200;-0,596;0,13;0,01;-0,12
0,210;-0,580;0,13;0,01;-0,85
0,220;-0,583;0,13;-0,01;-1,20
0,230;-0,556;0,13;-0,03;0,03
0,240;-0,556;0,13;-0,03;4,40
0,250;-0,571;0,13;0,03;9,64
0,260;-0,553;0,13;0,20;11,56
0,270;-0,560;0,13;0,32;3,22
0,280;-0,560;0,14;0,37;-13,52
0,290;-0,555;0,14;0,05;-22,54
0,300;-0,560;0,14;-0,34;-13,51
0,310;-0,551;0,13;-0,32;8,49
0,320;-0,562;0,13;-0,07;17,93
0,330;-0,562;0,13;0,29;5,35
0,340;-0,542;0,13;0,12;-10,89
0,350;-0,562;0,14;-0,20;-11,35
0,360;-0,560;0,13;-0,24;2,99
0,370;-0,549;0,12;-0,03;8,51
0,380;-0,562;0,13;0,13;2,16
0,390;-0,560;0,13;-0,06;-2,93
0,400;-0,553;0,13;-0,08;-0,93
0,410;-0,553;0,13;0,01;1,20
0,420;-0,556;0,13;0,01;-1,75
0,430;-0,565;0,13;-0,08;-2,50
0,440;-0,556;0,13;-0,10;-0,77
0,450;-0,547;0,13;-0,03;0,78
0,460;-0,567;0,12;-0,08;1,78
0,470;-0,558;0,12;-0,05;2,78
0,480;-0,549;0,12;0,03;2,64
0,490;-0,562;0,13;0,03;-0,40
0,500;-0,560;0,13;0,00;-2,61
0,510;-0,562;0,12;-0,05;-1,89
0,520;-0,547;0,12;-0,05;0,09
0,530;-0,551;0,12;-0,03;1,71
0,540;-0,565;0,12;-0,01;2,11
0,550;-0,564;0,12;0,01;1,93
0,560;-0,564;0,12;0,03;1,41
0,570;-0,560;0,12;0,04;0,68
0,580;-0,551;0,12;0,04;0,33
0,590;-0,567;0,13;0,04;0,38
0,600;-0,560;0,13;0,05;0,45
0,610;-0,556;0,13;0,06;0,03
0,620;-0,556;0,13;0,05;-0,75
0,630;-0,574;0,13;0,04;-1,21
0,640;-0,564;0,13;0,02;-0,86
0,650;-0,537;0,13;0,01;0,39
0,660;-0,573;0,13;0,03;1,62
0,670;-0,592;0,13;0,06;1,65
0,680;-0,530;0,13;0,07;0,96
0,690;-0,556;0,13;0,07;0,91
0,700;-0,592;0,13;0,08;0,96
0,710;-0,555;0,13;0,11;-0,39
0,720;-0,546;0,13;0,09;-2,69
0,730;-0,585;0,13;0,03;-3,64
0,740;-0,567;0,13;-0,01;-2,19
0,750;-0,537;0,13;-0,02;0,10
0,760;-0,573;0,13;0,00;1,19
0,770;-0,578;0,13;0,03;0,19
0,780;-0,540;0,13;0,02;-2,23
0,790;-0,560;0,13;-0,02;-2,77
0,800;-0,578;0,13;-0,08;0,95
0,810;-0,564;0,13;-0,04;7,29
0,820;-0,553;0,13;0,09;11,47
0,830;-0,567;0,13;0,24;10,10
0,840;-0,576;0,14;0,33;5,58
0,850;-0,547;0,14;0,33;1,77
0,860;-0,560;0,14;0,34;0,34
0,870;-0,587;0,15;0,34;0,28
0,880;-0,551;0,15;0,34;0,37
0,890;-0,556;0,15;0,35;0,57
0,900;-0,567;0,16;0,35;0,72
0,910;-0,569;0,16;0,36;0,63
0,920;-0,549;0,16;0,37;0,34
0,930;-0,565;0,17;0,37;0,19
0,940;-0,574;0,17;0,37;0,28
0,950;-0,544;0,18;0,37;0,48
0,960;-0,556;0,18;0,38;0,49
0,970;-0,573;0,18;0,39;0,33
0,980;-0,544;0,19;0,39;-0,37
0,990;-0,564;0,19;0,39;-1,51
1,000;-0,560;0,20;0,36;-1,98
1,010;-0,551;0,20;0,33;-0,80
1,020;-0,553;0,20;0,33;1,52
1,030;-0,574;0,21;0,37;2,62
1,040;-0,551;0,21;0,41;1,91
1,050;-0,569;0,21;0,41;0,23
1,060;-0,567;0,22;0,41;-1,18
1,070;-0,555;0,22;0,38;-1,50
1,080;-0,573;0,23;0,36;-0,56
1,090;-0,555;0,23;0,36;1,39
1,100;-0,546;0,23;0,39;2,81
1,110;-0,567;0,24;0,43;2,88
1,120;-0,555;0,24;0,46;1,92
1,130;-0,567;0,25;0,47;0,93
1,140;-0,590;0,25;0,47;0,48
1,150;-0,558;0,25;0,47;0,42
1,160;-0,533;0,26;0,48;0,48
1,170;-0,580;0,26;0,49;0,40
1,180;-0,581;0,27;0,49;0,19
1,190;-0,556;0,27;0,49;0,13
1,200;-0,533;0,28;0,49;0,27
1,210;-0,585;0,28;0,49;0,48
1,220;-0,569;0,29;0,50;0,49
1,230;-0,556;0,29;0,51;0,34
1,240;-0,560;0,30;0,51;0,28
1,250;-0,567;0,30;0,51;0,37
1,260;-0,556;0,31;0,51;0,52
1,270;-0,571;0,31;0,52;0,53
1,280;-0,555;0,32;0,53;0,48
1,290;-0,578;0,33;0,53;0,47
1,300;-0,571;0,33;0,53;0,51
1,310;-0,542;0,34;0,54;0,61
1,320;-0,573;0,34;0,55;0,67
1,330;-0,583;0,35;0,55;0,64
1,340;-0,544;0,35;0,56;0,44
1,350;-0,573;0,36;0,56;0,26
1,360;-0,576;0,36;0,56;0,46
1,370;-0,551;0,37;0,57;0,71
1,380;-0,583;0,37;0,58;0,40
1,390;-0,553;0,38;0,59;-0,62
1,400;-0,574;0,39;0,57;-1,59
1,410;-0,569;0,39;0,55;-1,56
1,420;-0,564;0,40;0,53;-0,46
1,430;-0,567;0,40;0,53;1,08
1,440;-0,567;0,41;0,55;2,11
1,450;-0,573;0,41;0,58;2,05
1,460;-0,551;0,42;0,60;1,54
1,470;-0,596;0,43;0,61;1,37
1,480;-0,567;0,43;0,62;1,47
1,490;-0,580;0,44;0,65;1,13
1,500;-0,576;0,45;0,65;0,72
1,510;-0,583;0,45;0,65;1,22
1,520;-0,567;0,46;0,67;2,73
1,530;-0,569;0,46;0,70;4,48
1,540;-0,608;0,47;0,76;5,14
1,550;-0,540;0,48;0,82;3,23
1,560;-0,583;0,49;0,86;-2,33
1,570;-0,583;0,50;0,80;-8,57
1,580;-0,585;0,51;0,64;-10,91
1,590;-0,553;0,51;0,52;-7,86
1,600;-0,562;0,51;0,48;-2,16
1,610;-0,610;0,52;0,49;0,50
1,620;-0,537;0,52;0,54;-1,12
1,630;-0,590;0,53;0,49;-3,72
1,640;-0,571;0,54;0,42;-2,47
1,650;-0,569;0,54;0,40;2,98
1,660;-0,556;0,54;0,49;6,50
1,670;-0,573;0,55;0,60;5,76
1,680;-0,573;0,55;0,61;2,87
1,690;-0,540;0,56;0,62;1,06
1,700;-0,573;0,57;0,63;0,69
1,710;-0,581;0,57;0,64;0,27
1,720;-0,555;0,58;0,64;-0,14
1,730;-0,564;0,59;0,63;-0,89
1,740;-0,583;0,59;0,62;-2,25
1,750;-0,696;0,60;0,59;-4,07
1,760;-0,848;0,60;0,54;-5,88
1,770;-0,955;0,61;0,47;-7,40
1,780;-0,966;0,61;0,39;-8,65
1,790;-1,038;0,62;0,30;-9,62
1,800;-1,107;0,62;0,20;-10,28
1,810;-1,129;0,62;0,09;-10,49
1,820;-1,143;0,62;-0,02;-10,35
1,830;-1,098;0,62;-0,12;-9,96
1,840;-1,071;0,62;-0,22;-9,38
1,850;-1,063;0,62;-0,31;-8,62
1,860;-1,029;0,61;-0,39;-7,62
1,870;-0,950;0,61;-0,46;-6,34
1,880;-0,887;0,60;-0,52;-4,67
1,890;-0,834;0,60;-0,56;-2,85
1,900;-0,741;0,59;-0,57;-1,27
1,910;-0,576;0,59;-0,58;-0,23
1,920;-0,481;0,58;-0,58;0,34
1,930;-0,603;0,58;-0,57;0,62
1,940;-0,630;0,57;-0,56;0,67
1,950;-0,524;0,56;-0,56;0,66
1,960;-0,556;0,56;-0,55;0,73
1,970;-0,608;0,55;-0,54;0,74
1,980;-0,564;0,55;-0,53;2,28
1,990;-0,522;0,54;-0,53;5,52
