"Tiempo (s) Serie Nº 1";"Ángulo (rad) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Ángulo (rad) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Ángulo (rad) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Ángulo (rad) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Ángulo (rad) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Ángulo (rad) Serie Nº 6";"Posición (m) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6"
1,250;0,080;0,0019;0,005;1,250;-0,002;-3,7500E-5;0,003;1,250;0,025;6,0000E-4;0,002;1,250;0,013;3,0000E-4;-0,024;1,250;3,166E-17;1,6263E-19;0,003;1,250;-0,008;-1,8750E-4;-0,003
1,300;0,090;0,0021;0,003;1,300;0,005;1,1250E-4;0,002;1,300;0,028;6,7500E-4;0,001;1,300;-0,039;-9,3750E-4;-0,012;1,300;0,011;2,6250E-4;0,002;1,300;-0,014;-3,3750E-4;-0,003
1,350;0,093;0,0022;;1,350;0,009;2,2500E-4;0,001;1,350;0,030;7,1250E-4;0,000;1,350;-0,033;-7,8750E-4;-0,001;1,350;0,013;3,0000E-4;5,000E-4;1,350;-0,016;-3,7500E-4;-0,003
;;;;1,400;0,011;2,6250E-4;5,000E-4;1,400;0,028;6,7500E-4;-1,000E-3;1,400;-0,024;-5,6250E-4;0,004;1,400;0,009;2,2500E-4;-1,000E-3;1,400;-0,031;-7,5000E-4;-0,003
;;;;1,450;0,011;2,6250E-4;-3,750E-4;1,450;0,025;6,0000E-4;-0,002;1,450;-0,017;-4,1250E-4;0,004;1,450;0,008;1,8750E-4;-0,002;1,450;-0,030;-7,1250E-4;-0,001
;;;;1,500;0,009;2,2500E-4;-0,001;1,500;0,020;4,8750E-4;-0,003;1,500;-0,009;-2,2500E-4;0,003;1,500;0,003;7,5000E-5;-0,002;1,500;-0,033;-7,8750E-4;1,250E-4
;;;;1,550;0,006;1,5000E-4;-0,002;1,550;0,013;3,0000E-4;-0,004;1,550;1,735E-17;5,1500E-19;0,002;1,550;3,253E-17;2,4395E-19;;1,550;-0,031;-7,5000E-4;0,001
;;;;1,600;0,002;3,7500E-5;-0,003;1,600;0,005;1,1250E-4;-0,004;1,600;1,735E-17;5,1500E-19;;;;;;1,600;-0,028;-6,7500E-4;
;;;;1,650;-0,005;-1,1250E-4;-0,003;1,650;-0,005;-1,1250E-4;-0,003;;;;;;;;;;;;
;;;;1,700;-0,013;-3,0000E-4;-0,004;1,700;-0,011;-2,6250E-4;-3,750E-4;;;;;;;;;;;;
;;;;1,750;-0,020;-4,8750E-4;-0,003;1,750;-0,006;-1,5000E-4;;;;;;;;;;;;;
;;;;1,800;-0,027;-6,3750E-4;-7,500E-4;;;;;;;;;;;;;;;;
;;;;1,850;-0,024;-5,6250E-4;0,001;;;;;;;;;;;;;;;;
;;;;1,900;-0,019;-4,5000E-4;0,002;;;;;;;;;;;;;;;;
;;;;1,950;-0,014;-3,3750E-4;;;;;;;;;;;;;;;;;
