"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,119
0,32;-10,082
0,32;-10,051
0,32;-10,046
0,32;-10,037
0,32;-10,051
0,32;-10,044
0,32;-10,040
0,32;-10,035
0,32;-10,044
0,32;-10,071
0,32;-10,137
0,32;-10,210
0,32;-10,269
0,32;-10,305
0,32;-10,305
0,32;-10,287
0,32;-10,253
0,32;-10,228
0,32;-10,214
0,32;-10,216
0,32;-10,223
0,32;-10,218
0,32;-10,187
0,32;-10,137
0,32;-10,096
0,32;-10,089
0,32;-10,121
0,32;-10,175
0,32;-10,228
0,32;-10,259
0,32;-10,269
0,32;-10,269
0,32;-10,250
0,32;-10,253
0,32;-10,303
0,32;-10,375
0,32;-10,411
0,32;-10,427
0,32;-10,437
0,32;-10,432
0,32;-10,395
0,32;-10,378
0,32;-10,366
0,32;-10,377
0,32;-10,421
0,32;-10,454
0,32;-10,464
0,32;-10,448
0,32;-10,436
0,32;-10,437
0,32;-10,454
0,32;-10,484
0,32;-10,507
0,32;-10,514
0,32;-10,520
0,32;-10,516
0,32;-10,493
0,32;-10,439
0,32;-10,377
0,32;-10,321
0,32;-10,278
0,32;-10,250
0,32;-10,216
0,32;-10,191
0,32;-10,164
0,32;-10,146
0,32;-10,128
0,32;-10,112
0,32;-10,107
0,32;-10,119
0,32;-10,148
0,32;-10,173
0,32;-10,164
0,32;-10,139
0,32;-10,105
0,32;-10,083
0,32;-10,082
0,32;-10,082
0,32;-10,080
0,32;-10,087
0,32;-10,101
0,32;-10,123
0,32;-10,153
0,32;-10,212
0,32;-10,250
0,32;-10,137
0,32;-10,103
0,32;-10,057
0,32;-9,999
0,32;-10,046
0,32;-10,048
0,32;-10,064
0,32;-10,099
0,32;-10,114
0,32;-10,112
0,32;-10,098
0,32;-10,076
0,32;-10,049
0,32;-10,033
0,32;-10,058
0,32;-10,110
0,32;-10,141
0,32;-10,128
0,32;-10,087
0,32;-10,058
0,32;-10,064
0,32;-10,085
0,32;-10,119
0,32;-10,141
0,32;-10,167
0,32;-10,182
0,32;-10,187
0,32;-10,191
0,32;-10,212
0,32;-10,232
0,32;-10,246
0,32;-10,251
0,32;-10,250
0,32;-10,244
0,32;-10,243
0,32;-10,248
0,32;-10,251
0,32;-10,259
0,32;-10,284
0,32;-10,312
0,32;-10,334
0,32;-10,348
0,32;-10,273
0,32;-10,176
0,32;-9,992
0,32;-9,847
0,32;-10,069
0,32;-9,985
0,32;-9,976
