"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-9,837
0,32;-9,833
0,32;-9,829
0,32;-9,831
0,32;-9,829
0,32;-9,831
0,32;-9,828
0,32;-9,826
0,32;-9,831
0,32;-9,833
0,32;-9,829
0,32;-9,831
0,32;-9,831
0,32;-9,828
0,32;-9,828
0,32;-9,822
0,32;-9,822
0,32;-9,819
0,32;-9,817
0,32;-9,822
0,32;-9,819
0,32;-9,815
0,32;-9,815
0,32;-9,815
0,32;-9,817
0,32;-9,817
0,32;-9,819
0,32;-9,819
0,32;-9,819
0,32;-9,817
0,32;-9,815
0,32;-9,812
0,32;-9,813
0,32;-9,810
0,32;-9,812
0,32;-9,812
0,32;-9,808
0,32;-9,810
0,32;-9,806
0,32;-9,812
0,32;-9,810
0,32;-9,808
0,32;-9,804
0,32;-9,810
0,32;-9,808
0,32;-9,810
0,32;-9,806
0,32;-9,812
0,32;-9,808
0,32;-9,812
0,32;-9,810
0,32;-9,813
0,32;-9,810
0,32;-9,804
0,32;-9,806
0,32;-9,804
0,32;-9,803
0,32;-9,806
0,32;-9,801
0,32;-9,804
0,32;-9,801
0,32;-9,801
0,32;-9,795
0,32;-9,803
0,32;-9,801
0,32;-9,799
0,32;-9,797
0,32;-9,797
0,32;-9,801
0,32;-9,797
0,32;-9,799
0,32;-9,799
0,32;-9,801
0,32;-9,799
0,32;-9,799
0,32;-9,799
0,32;-9,795
0,32;-9,799
0,32;-9,795
0,32;-9,794
0,32;-9,792
0,32;-9,792
0,32;-9,792
0,32;-9,792
0,32;-9,790
0,32;-9,794
0,32;-9,794
0,32;-9,794
0,32;-9,795
0,32;-9,794
0,32;-9,795
0,32;-9,795
0,32;-9,792
0,32;-9,794
0,32;-9,795
0,32;-9,794
0,32;-9,795
0,32;-9,794
0,32;-9,790
0,32;-9,792
0,32;-9,792
0,32;-9,794
0,32;-9,790
0,32;-9,795
0,32;-9,794
0,32;-9,794
0,32;-9,792
0,32;-9,794
0,32;-9,792
0,32;-9,794
0,32;-9,792
0,32;-9,788
0,32;-9,792
0,32;-9,792
0,32;-9,787
0,32;-9,790
0,32;-9,790
0,32;-9,792
0,32;-9,790
0,32;-9,792
0,32;-9,792
0,32;-9,787
0,32;-9,792
0,32;-9,794
0,32;-9,790
0,32;-9,788
0,32;-9,785
0,32;-9,788
0,32;-9,792
0,32;-9,788
0,32;-9,792
0,32;-9,792
0,32;-9,788
0,32;-9,790
0,32;-9,788
0,32;-9,790
0,32;-9,792
0,32;-9,794
0,32;-9,792
0,32;-9,792
0,32;-9,790
0,32;-9,792
0,32;-9,788
0,32;-9,788
0,32;-9,787
0,32;-9,788
0,32;-9,787
0,32;-9,788
0,32;-9,788
0,32;-9,792
0,32;-9,785
0,32;-9,788
