"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-8,976
0,32;-8,962
0,32;-8,962
0,32;-8,957
0,32;-8,960
0,32;-8,957
0,32;-8,962
0,32;-8,957
0,32;-8,951
0,32;-8,946
0,32;-8,941
0,32;-8,941
0,32;-8,937
0,32;-8,937
0,32;-8,942
0,32;-8,950
0,32;-8,948
0,32;-8,948
0,32;-8,941
0,32;-8,937
0,32;-8,933
0,32;-8,930
0,32;-8,928
0,32;-8,926
0,32;-8,923
0,32;-8,923
0,32;-8,921
0,32;-8,917
0,32;-8,917
0,32;-8,916
0,32;-8,916
0,32;-8,914
0,32;-8,910
0,32;-8,905
0,32;-8,903
0,32;-8,903
0,32;-8,901
0,32;-8,903
0,32;-8,901
0,32;-8,903
0,32;-8,896
0,32;-8,899
0,32;-8,899
0,32;-8,898
0,32;-8,892
0,32;-8,891
0,32;-8,894
0,32;-8,889
0,32;-8,889
0,32;-8,891
0,32;-8,885
0,32;-8,885
0,32;-8,887
0,32;-8,882
0,32;-8,883
0,32;-8,882
0,32;-8,880
0,32;-8,880
0,32;-8,883
0,32;-8,878
0,32;-8,873
0,32;-8,873
0,32;-8,871
0,32;-8,867
0,32;-8,867
0,32;-8,867
0,32;-8,865
0,32;-8,871
0,32;-8,871
0,32;-8,871
0,32;-8,869
0,32;-8,867
0,32;-8,867
0,32;-8,864
0,32;-8,869
0,32;-8,865
0,32;-8,862
0,32;-8,867
0,32;-8,858
0,32;-8,858
0,32;-8,853
0,32;-8,853
0,32;-8,860
0,32;-8,855
0,32;-8,853
0,32;-8,848
0,32;-8,848
0,32;-8,844
0,32;-8,844
0,32;-8,842
0,32;-8,840
0,32;-8,842
0,32;-8,844
0,32;-8,839
0,32;-8,839
0,32;-8,839
0,32;-8,837
0,32;-8,840
0,32;-8,835
0,32;-8,831
0,32;-8,833
0,32;-8,833
0,32;-8,828
0,32;-8,828
0,32;-8,828
0,32;-8,831
0,32;-8,831
0,32;-8,828
0,32;-8,831
0,32;-8,830
0,32;-8,824
0,32;-8,819
0,32;-8,819
0,32;-8,821
0,32;-8,817
0,32;-8,817
0,32;-8,812
0,32;-8,814
0,32;-8,806
0,32;-8,806
0,32;-8,806
0,32;-8,805
0,32;-8,803
0,32;-8,803
0,32;-8,803
0,32;-8,801
0,32;-8,801
0,32;-8,798
0,32;-8,801
0,32;-8,792
0,32;-8,781
0,32;-8,633
0,32;-8,613
0,32;-8,619
0,32;-8,620
0,32;-8,624
0,32;-8,629
0,32;-8,631
0,32;-8,631
0,32;-8,633
0,32;-8,628
0,32;-8,624
0,32;-8,628
0,32;-8,631
0,32;-8,631
0,32;-8,628
0,32;-8,622
0,32;-8,622
0,32;-8,612
0,32;-8,612
0,32;-8,612
0,32;-8,617
0,32;-8,620
0,32;-8,619
0,32;-8,619
0,32;-8,617
0,32;-8,617
0,32;-8,608
0,32;-8,608
0,32;-8,606
0,32;-8,608
0,32;-8,606
0,32;-8,608
0,32;-8,606
0,32;-8,604
0,32;-8,597
0,32;-8,601
0,32;-8,603
0,32;-8,601
0,32;-8,603
0,32;-8,595
0,32;-8,551
0,32;-8,517
0,32;-8,601
0,32;-8,556
0,32;-8,517
0,32;-8,535
0,32;-8,510
0,32;-8,499
0,32;-8,520
0,32;-8,510
0,32;-8,520
0,32;-8,526
0,32;-8,524
0,32;-8,529
0,32;-8,526
0,32;-8,520
0,32;-8,365
0,32;-8,400
0,32;-8,529
0,32;-8,536
0,32;-8,495
0,32;-8,495
0,32;-8,508
0,32;-8,513
0,32;-8,513
0,32;-8,515
0,32;-8,511
0,32;-8,510
0,32;-8,508
0,32;-8,513
0,32;-8,517
0,32;-8,513
0,32;-8,513
0,32;-8,510
0,32;-8,510
0,32;-8,513
0,32;-8,513
0,32;-8,511
0,32;-8,511
0,32;-8,508
0,32;-8,508
0,32;-8,511
0,32;-8,513
0,32;-8,511
0,32;-8,510
0,32;-8,511
0,32;-8,510
0,32;-8,513
0,32;-8,513
0,32;-8,506
0,32;-8,508
0,32;-8,510
0,32;-8,511
0,32;-8,506
0,32;-8,510
0,32;-8,513
0,32;-8,517
0,32;-8,519
0,32;-8,470
0,32;-8,579
0,32;-8,638
0,32;-8,526
0,32;-8,610
0,32;-8,586
0,32;-8,586
0,32;-8,597
0,32;-8,576
0,32;-8,599
0,32;-8,569
0,32;-8,590
0,32;-8,583
0,32;-8,604
0,32;-8,690
0,32;-8,713
0,32;-8,744
0,32;-8,747
0,32;-8,738
0,32;-8,742
0,32;-8,733
0,32;-8,737
0,32;-8,735
0,32;-8,728
0,32;-8,730
0,32;-8,724
0,32;-8,730
0,32;-8,722
0,32;-8,724
0,32;-8,726
0,32;-8,726
0,32;-8,721
0,32;-8,717
0,32;-8,715
0,32;-8,715
0,32;-8,713
0,32;-8,712
0,32;-8,712
0,32;-8,713
0,32;-8,713
0,32;-8,721
0,32;-8,726
0,32;-8,722
0,32;-8,719
0,32;-8,713
0,32;-8,713
0,32;-8,712
0,32;-8,706
0,32;-8,710
0,32;-8,708
0,32;-8,712
0,32;-8,715
0,32;-8,733
0,32;-8,755
0,32;-8,767
0,32;-8,771
0,32;-8,774
0,32;-8,772
0,32;-8,771
0,32;-8,764
0,32;-8,764
0,32;-8,765
0,32;-8,764
0,32;-8,762
0,32;-8,758
0,32;-8,762
0,32;-8,760
0,32;-8,755
0,32;-8,753
0,32;-8,753
0,32;-8,753
0,32;-8,751
0,32;-8,749
0,32;-8,749
0,32;-8,749
0,32;-8,749
0,32;-8,746
0,32;-8,747
0,32;-8,744
0,32;-8,742
0,32;-8,740
0,32;-8,740
0,32;-8,746
0,32;-8,747
0,32;-8,747
0,32;-8,753
0,32;-8,753
0,32;-8,751
0,32;-8,747
0,32;-8,746
0,32;-8,742
0,32;-8,744
0,32;-8,740
0,32;-8,738
0,32;-8,740
0,32;-8,740
0,32;-8,740
0,32;-8,735
0,32;-8,735
0,32;-8,733
0,32;-8,735
0,32;-8,731
0,32;-8,728
0,32;-8,730
0,32;-8,724
0,32;-8,724
0,32;-8,724
0,32;-8,724
0,32;-8,726
0,32;-8,726
0,32;-8,728
0,32;-8,726
0,32;-8,722
0,32;-8,722
0,32;-8,722
0,32;-8,726
0,32;-8,722
0,32;-8,724
0,32;-8,721
0,32;-8,722
0,32;-8,717
0,32;-8,715
0,32;-8,713
0,32;-8,713
0,32;-8,717
0,32;-8,713
0,32;-8,712
0,32;-8,710
0,32;-8,712
0,32;-8,710
0,32;-8,710
0,32;-8,713
0,32;-8,710
0,32;-8,708
0,32;-8,710
0,32;-8,706
0,32;-8,705
0,32;-8,705
0,32;-8,705
0,32;-8,703
0,32;-8,701
0,32;-8,696
0,32;-8,638
0,32;-8,558
0,32;-8,538
0,32;-8,536
0,32;-8,552
0,32;-8,569
0,32;-8,569
0,32;-8,569
0,32;-8,567
0,32;-8,569
0,32;-8,569
0,32;-8,569
0,32;-8,570
0,32;-8,581
0,32;-8,610
0,32;-8,626
0,32;-8,626
0,32;-8,620
0,32;-8,619
0,32;-8,617
0,32;-8,617
0,32;-8,617
0,32;-8,617
0,32;-8,619
0,32;-8,615
0,32;-8,615
0,32;-8,615
0,32;-8,612
0,32;-8,610
0,32;-8,612
0,32;-8,613
0,32;-8,608
0,32;-8,613
0,32;-8,612
0,32;-8,610
0,32;-8,610
0,32;-8,606
0,32;-8,608
0,32;-8,608
0,32;-8,610
0,32;-8,604
0,32;-8,606
0,32;-8,608
0,32;-8,606
0,32;-8,603
0,32;-8,603
0,32;-8,604
0,32;-8,604
0,32;-8,599
0,32;-8,599
0,32;-8,601
0,32;-8,601
0,32;-8,603
0,32;-8,604
0,32;-8,601
0,32;-8,603
0,32;-8,604
0,32;-8,601
0,32;-8,599
0,32;-8,601
0,32;-8,599
0,32;-8,597
0,32;-8,604
0,32;-8,604
0,32;-8,601
0,32;-8,597
0,32;-8,601
0,32;-8,603
0,32;-8,597
0,32;-8,597
0,32;-8,594
0,32;-8,601
0,32;-8,597
0,32;-8,597
0,32;-8,597
0,32;-8,594
0,32;-8,597
0,32;-8,592
0,32;-8,590
0,32;-8,588
0,32;-8,592
0,32;-8,586
0,32;-8,588
0,32;-8,590
0,32;-8,588
0,32;-8,588
0,32;-8,588
0,32;-8,592
0,32;-8,594
0,32;-8,592
0,32;-8,594
0,32;-8,588
0,32;-8,588
0,32;-8,588
0,32;-8,585
0,32;-8,581
0,32;-8,583
0,32;-8,583
0,32;-8,583
0,32;-8,583
0,32;-8,585
0,32;-8,583
0,32;-8,581
0,32;-8,585
0,32;-8,583
0,32;-8,581
0,32;-8,586
0,32;-8,585
0,32;-8,579
0,32;-8,581
0,32;-8,581
0,32;-8,579
0,32;-8,583
0,32;-8,581
0,32;-8,585
0,32;-8,579
0,32;-8,579
0,32;-8,578
0,32;-8,579
0,32;-8,578
0,32;-8,574
0,32;-8,578
0,32;-8,576
0,32;-8,578
0,32;-8,581
0,32;-8,586
0,32;-8,586
0,32;-8,597
0,32;-8,586
0,32;-8,585
0,32;-8,585
0,32;-8,583
0,32;-8,588
0,32;-8,586
0,32;-8,585
0,32;-8,585
0,32;-8,585
0,32;-8,583
0,32;-8,581
0,32;-8,578
0,32;-8,574
0,32;-8,578
0,32;-8,578
0,32;-8,581
0,32;-8,579
0,32;-8,579
0,32;-8,579
0,32;-8,578
0,32;-8,578
0,32;-8,578
0,32;-8,574
0,32;-8,585
0,32;-8,628
0,32;-8,712
0,32;-8,713
0,32;-8,719
0,32;-8,715
0,32;-8,706
0,32;-8,705
0,32;-8,712
0,32;-8,706
0,32;-8,710
0,32;-8,706
0,32;-8,710
0,32;-8,706
0,32;-8,705
0,32;-8,697
0,32;-8,697
0,32;-8,701
0,32;-8,701
0,32;-8,701
0,32;-8,699
0,32;-8,701
0,32;-8,701
0,32;-8,699
0,32;-8,697
0,32;-8,701
0,32;-8,697
0,32;-8,697
0,32;-8,692
0,32;-8,696
0,32;-8,690
0,32;-8,688
0,32;-8,692
0,32;-8,690
0,32;-8,690
