"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,135
0,32;-10,125
0,32;-10,110
0,32;-10,121
0,32;-10,114
0,32;-10,119
0,32;-10,119
0,32;-10,108
0,32;-10,114
0,32;-10,117
0,32;-10,119
0,32;-10,112
0,32;-10,103
0,32;-10,096
0,32;-10,096
0,32;-10,098
0,32;-10,101
0,32;-10,098
0,32;-10,069
0,32;-10,046
0,32;-10,058
0,32;-10,051
0,32;-10,060
0,32;-10,051
0,32;-10,039
0,32;-10,080
0,32;-10,133
0,32;-10,182
0,32;-10,216
0,32;-10,212
0,32;-10,209
0,32;-10,198
0,32;-10,162
0,32;-10,137
0,32;-10,116
0,32;-10,105
0,32;-10,101
0,32;-10,112
0,32;-10,128
0,32;-10,162
0,32;-10,200
0,32;-10,251
0,32;-10,255
0,32;-10,259
0,32;-10,219
0,32;-10,153
0,32;-10,089
0,32;-10,040
0,32;-10,055
0,32;-10,066
0,32;-10,074
0,32;-10,094
0,32;-10,112
0,32;-10,146
0,32;-10,144
0,32;-10,153
0,32;-10,142
0,32;-10,133
0,32;-10,116
0,32;-10,108
0,32;-10,114
0,32;-10,142
0,32;-10,180
0,32;-10,194
0,32;-10,196
0,32;-10,187
0,32;-10,162
0,32;-10,130
0,32;-10,135
0,32;-10,117
0,32;-10,119
0,32;-10,121
0,32;-10,146
0,32;-10,166
0,32;-10,171
0,32;-10,157
0,32;-10,125
0,32;-10,094
0,32;-10,082
0,32;-10,073
0,32;-10,069
0,32;-10,055
0,32;-10,049
0,32;-10,048
0,32;-10,055
0,32;-10,067
0,32;-10,091
0,32;-10,108
0,32;-10,108
0,32;-10,085
0,32;-10,071
0,32;-10,049
0,32;-10,046
0,32;-10,046
0,32;-10,049
0,32;-10,044
0,32;-10,046
0,32;-10,028
0,32;-10,015
0,32;-10,010
0,32;-10,040
0,32;-10,040
0,32;-10,042
0,32;-10,040
0,32;-10,040
0,32;-10,040
0,32;-10,049
0,32;-10,040
0,32;-10,033
0,32;-10,019
0,32;-10,014
0,32;-10,019
0,32;-10,021
0,32;-10,017
0,32;-10,021
0,32;-10,089
0,32;-10,105
0,32;-10,069
0,32;-10,074
0,32;-10,099
0,32;-10,089
0,32;-10,085
0,32;-10,083
0,32;-10,085
0,32;-10,080
0,32;-10,085
0,32;-10,087
0,32;-10,069
0,32;-10,071
0,32;-10,062
0,32;-10,049
0,32;-10,037
0,32;-10,064
0,32;-10,092
0,32;-10,110
0,32;-10,116
0,32;-10,121
0,32;-10,141
0,32;-10,171
0,32;-10,169
0,32;-10,158
0,32;-10,144
0,32;-10,125
0,32;-10,114
0,32;-10,105
0,32;-10,091
0,32;-10,105
0,32;-10,119
0,32;-10,137
0,32;-10,144
0,32;-10,142
0,32;-10,139
0,32;-10,146
0,32;-10,148
0,32;-10,142
0,32;-10,128
0,32;-10,125
0,32;-10,116
0,32;-10,123
0,32;-10,098
0,32;-10,073
0,32;-10,066
0,32;-10,071
0,32;-10,083
0,32;-10,074
0,32;-10,074
0,32;-10,067
0,32;-10,049
0,32;-10,048
0,32;-10,049
0,32;-10,055
0,32;-10,080
0,32;-10,119
0,32;-10,150
0,32;-10,162
0,32;-10,157
0,32;-10,150
0,32;-10,130
0,32;-10,114
0,32;-10,116
0,32;-10,125
0,32;-10,130
0,32;-10,132
0,32;-10,116
0,32;-10,094
0,32;-10,064
0,32;-10,062
0,32;-10,074
0,32;-10,096
0,32;-10,155
0,32;-10,187
0,32;-10,191
0,32;-10,182
0,32;-10,137
0,32;-10,087
0,32;-10,062
0,32;-10,044
0,32;-10,024
0,32;-10,019
0,32;-10,017
0,32;-10,006
0,32;-9,994
0,32;-9,976
0,32;-9,980
0,32;-10,005
0,32;-9,996
0,32;-9,987
0,32;-9,990
0,32;-9,990
0,32;-9,987
0,32;-9,987
0,32;-9,987
0,32;-9,996
0,32;-9,987
0,32;-9,985
0,32;-9,994
0,32;-9,996
0,32;-9,989
0,32;-9,987
0,32;-9,985
0,32;-9,983
0,32;-9,989
0,32;-9,985
0,32;-9,987
0,32;-9,989
0,32;-9,983
0,32;-9,992
0,32;-10,006
0,32;-10,023
0,32;-10,040
0,32;-10,058
0,32;-10,078
0,32;-10,098
0,32;-10,105
0,32;-10,098
0,32;-10,099
0,32;-10,116
0,32;-10,133
0,32;-10,150
0,32;-10,171
0,32;-10,178
0,32;-10,180
0,32;-10,192
0,32;-10,182
0,32;-10,169
0,32;-10,175
0,32;-10,198
0,32;-10,216
0,32;-10,225
0,32;-10,218
0,32;-10,230
0,32;-10,218
0,32;-10,189
0,32;-10,151
0,32;-10,132
0,32;-10,123
0,32;-10,128
0,32;-10,132
0,32;-10,135
0,32;-10,125
0,32;-10,110
0,32;-10,091
0,32;-10,092
0,32;-10,098
0,32;-10,110
0,32;-10,128
0,32;-10,135
0,32;-10,133
0,32;-10,132
0,32;-10,133
0,32;-10,142
0,32;-10,166
0,32;-10,176
0,32;-10,175
0,32;-10,160
0,32;-10,132
0,32;-10,110
0,32;-10,101
0,32;-10,099
0,32;-10,112
0,32;-10,099
0,32;-10,073
0,32;-10,064
0,32;-10,067
0,32;-10,057
0,32;-10,060
0,32;-10,058
0,32;-10,062
0,32;-10,060
0,32;-10,046
0,32;-10,042
0,32;-10,030
0,32;-10,033
0,32;-10,026
0,32;-10,012
0,32;-10,010
0,32;-10,021
0,32;-10,024
0,32;-10,042
0,32;-10,057
0,32;-10,055
0,32;-10,071
0,32;-10,069
0,32;-10,062
0,32;-10,066
0,32;-10,069
0,32;-10,062
0,32;-10,053
0,32;-10,024
0,32;-10,017
0,32;-10,023
0,32;-10,032
0,32;-10,039
0,32;-10,035
0,32;-10,023
0,32;-9,996
0,32;-9,996
0,32;-10,008
