"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,29;-5,264;0,29;-5,303
0,29;-5,244;0,29;-5,276
0,29;-5,224;0,29;-5,233
0,29;-5,206;0,29;-5,171
0,29;-5,187;0,29;-5,162
0,29;-5,142;0,29;-5,128
0,29;-5,128;0,29;-5,101
0,29;-5,104;0,29;-5,085
0,29;-5,081;0,29;-5,101
0,29;-5,033;0,29;-5,092
0,29;-4,990;0,29;-5,053
0,29;-4,945;0,29;-5,020
0,29;-4,911;0,28;-5,017
0,28;-4,881;0,28;-4,954
0,28;-4,852;0,28;-4,934
0,28;-4,833;0,28;-4,918
0,28;-4,779;0,28;-4,895
0,28;-4,729;0,28;-4,886
0,28;-4,661;0,28;-4,877
0,28;-4,641;0,28;-4,881
0,28;-4,611;0,28;-4,870
0,28;-4,577;0,28;-4,854
0,28;-4,575;0,28;-4,833
0,28;-4,534;0,28;-4,799
0,28;-4,478;0,28;-4,781
0,28;-4,444;0,28;-4,747
0,28;-4,414;0,28;-4,715
0,28;-4,384;0,28;-4,693
0,28;-4,337;0,28;-4,668
0,28;-4,330;0,28;-4,664
0,28;-4,298;0,28;-4,663
0,28;-4,271;0,28;-4,632
0,28;-4,241;0,28;-4,582
0,28;-4,212;0,28;-4,584
0,28;-4,182;0,28;-4,575
0,28;-4,157;0,28;-4,552
0,28;-4,133;0,28;-4,536
0,28;-4,126;0,28;-4,496
0,28;-4,103;0,28;-4,489
0,28;-4,076;0,28;-4,475
0,28;-4,038;0,28;-4,441
0,28;-3,994;0,28;-4,407
0,28;-3,971;0,28;-4,393
0,28;-3,960;0,28;-4,378
0,28;-3,919;0,28;-4,362
0,28;-3,881;0,28;-4,360
0,28;-3,870;0,28;-4,346
0,28;-3,840;0,28;-4,316
0,27;-3,827;0,28;-4,235
0,27;-3,806;0,28;-4,208
0,27;-3,763;0,28;-4,189
0,27;-3,754;0,28;-4,148
0,27;-3,726;0,28;-4,148
0,27;-3,693;0,28;-4,126
0,27;-3,661;0,28;-4,092
0,27;-3,649;0,28;-4,087
0,27;-3,652;0,28;-4,060
0,27;-3,650;0,28;-4,028
0,27;-3,625;0,28;-4,005
0,27;-3,597;0,28;-3,985
0,27;-3,556;0,28;-3,988
0,27;-3,531;0,28;-3,954
0,27;-3,486;0,28;-3,904
0,27;-3,420;0,28;-3,885
0,27;-3,423;0,27;-3,829
0,27;-3,407;0,27;-3,811
0,27;-3,370;0,27;-3,785
0,27;-3,355;0,27;-3,767
0,27;-3,352;0,27;-3,749
0,27;-3,352;0,27;-3,760
0,27;-3,273;0,27;-3,738
0,27;-3,309;0,27;-3,699
0,27;-3,237;0,27;-3,659
0,27;-3,210;0,27;-3,622
0,27;-3,180;0,27;-3,588
0,27;-3,130;0,27;-3,568
0,27;-3,091;0,27;-3,523
0,27;-3,096;0,27;-3,502
0,27;-3,091;0,27;-3,488
0,27;-3,064;0,27;-3,463
0,27;-3,039;0,27;-3,461
0,27;-2,999;0,27;-3,447
0,27;-2,944;0,27;-3,400
0,27;-2,940;0,27;-3,362
0,27;-2,906;0,27;-3,316
0,27;-2,887;0,27;-3,305
0,27;-2,878;0,27;-3,273
0,27;-2,876;0,27;-3,239
0,27;-2,817;0,27;-3,203
0,27;-2,776;0,27;-3,200
0,27;-2,749;0,27;-3,175
0,27;-2,719;0,27;-3,164
0,26;-2,708;0,27;-3,168
0,26;-2,679;0,27;-3,155
0,26;-2,660;0,27;-3,130
0,26;-2,613;0,27;-3,073
0,26;-2,563;0,27;-3,042
0,26;-2,552;0,27;-3,023
0,26;-2,509;0,27;-3,005
0,26;-2,483;0,27;-2,982
0,26;-2,472;0,27;-2,989
0,26;-2,438;0,27;-2,960
