"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,890
0,32;-10,883
0,32;-10,881
0,32;-10,885
0,32;-10,879
0,32;-10,890
0,32;-10,895
0,32;-10,872
0,32;-10,886
0,32;-10,892
0,32;-10,874
0,32;-10,879
0,32;-10,886
0,32;-10,874
0,32;-10,883
0,32;-10,881
0,32;-10,872
0,32;-10,886
0,32;-10,879
0,32;-10,877
0,32;-10,877
0,32;-10,881
0,32;-10,883
0,32;-10,885
0,32;-10,879
0,32;-10,886
0,32;-10,883
0,32;-10,877
0,32;-10,888
0,32;-10,881
0,32;-10,883
0,32;-10,883
0,32;-10,877
0,32;-10,874
0,32;-10,892
0,32;-10,870
0,32;-10,883
0,32;-10,876
0,32;-10,885
0,32;-10,874
0,32;-10,885
0,32;-10,872
0,32;-10,883
0,32;-10,876
0,32;-10,877
0,32;-10,881
0,32;-10,886
0,32;-10,872
0,32;-10,892
0,32;-10,874
0,32;-10,876
0,32;-10,883
0,32;-10,872
0,32;-10,867
0,32;-10,879
0,32;-10,869
0,32;-10,872
0,32;-10,877
0,32;-10,874
0,32;-10,870
0,32;-10,886
0,32;-10,870
0,32;-10,865
0,32;-10,892
0,32;-10,876
0,32;-10,847
0,32;-10,892
0,32;-10,877
0,32;-10,870
0,32;-10,879
0,32;-10,874
0,32;-10,865
0,32;-10,874
0,32;-10,869
0,32;-10,894
0,32;-10,908
0,32;-10,843
0,32;-10,865
0,32;-10,897
0,32;-10,870
0,32;-10,895
0,32;-10,865
0,32;-10,885
0,32;-10,908
0,32;-10,865
0,32;-10,885
0,32;-10,906
0,32;-10,877
0,32;-10,890
0,32;-10,877
0,32;-10,865
0,32;-10,881
0,32;-10,886
0,32;-10,877
0,32;-10,881
0,32;-10,890
0,32;-10,876
0,32;-10,883
0,32;-10,881
0,32;-10,863
0,32;-10,879
0,32;-10,888
0,32;-10,867
0,32;-10,877
0,32;-10,877
0,32;-10,874
0,32;-10,876
0,32;-10,888
0,32;-10,883
0,32;-10,879
0,32;-10,877
0,32;-10,872
0,32;-10,872
0,32;-10,879
0,32;-10,876
0,32;-10,870
0,32;-10,865
0,32;-10,863
0,32;-10,874
0,32;-10,870
0,32;-10,869
0,32;-10,874
0,32;-10,870
0,32;-10,876
0,32;-10,867
0,32;-10,865
0,32;-10,872
0,32;-10,874
0,32;-10,872
0,32;-10,867
0,32;-10,869
0,32;-10,877
0,32;-10,879
0,32;-10,872
0,32;-10,872
0,32;-10,867
0,32;-10,872
0,32;-10,872
0,32;-10,861
0,32;-10,863
0,32;-10,863
0,32;-10,867
0,32;-10,867
0,32;-10,863
0,32;-10,863
