"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-9,282
0,32;-9,288
0,32;-9,284
0,32;-9,282
0,32;-9,270
0,32;-9,266
0,32;-9,277
0,32;-9,291
0,32;-9,323
0,32;-9,361
0,32;-9,415
0,32;-9,461
0,32;-9,488
0,32;-9,499
0,32;-9,497
0,32;-9,486
0,32;-9,491
0,32;-9,491
0,32;-9,500
0,32;-9,493
0,32;-9,481
0,32;-9,457
0,32;-9,415
0,32;-9,354
0,32;-9,295
0,32;-9,250
0,32;-9,200
0,32;-9,220
0,32;-9,282
0,32;-9,316
0,32;-9,304
0,32;-9,300
0,32;-9,309
0,32;-8,781
0,32;-9,064
0,32;-9,286
0,32;-9,322
0,32;-9,309
0,32;-9,322
0,32;-9,375
0,32;-9,448
0,32;-9,443
0,32;-9,443
0,32;-9,448
0,32;-9,441
0,32;-9,459
0,32;-9,461
0,32;-9,443
0,32;-9,398
0,32;-9,347
0,32;-9,298
0,32;-9,262
0,32;-9,237
0,32;-9,221
0,32;-9,184
0,32;-9,164
0,32;-9,178
0,32;-9,159
0,32;-9,150
0,32;-9,141
0,32;-9,146
0,32;-9,150
0,32;-9,153
0,32;-9,161
0,32;-9,162
0,32;-9,166
0,32;-9,171
0,32;-9,173
0,32;-9,171
0,32;-9,169
0,32;-9,166
0,32;-9,164
0,32;-9,161
0,32;-9,164
0,32;-9,166
0,32;-9,173
0,32;-9,182
0,32;-9,195
0,32;-9,200
0,32;-9,203
0,32;-9,207
0,32;-9,220
0,32;-9,225
0,32;-9,259
0,32;-9,298
0,32;-9,318
0,32;-9,318
0,32;-9,325
0,32;-9,334
0,32;-9,347
0,32;-9,347
0,32;-9,339
0,32;-9,345
0,32;-9,363
0,32;-9,359
0,32;-9,357
0,32;-9,354
0,32;-9,343
0,32;-9,330
0,32;-9,302
0,32;-9,273
0,32;-9,245
0,32;-9,218
0,32;-9,200
0,32;-9,205
0,32;-9,232
0,32;-9,262
0,32;-9,289
0,32;-9,311
0,32;-9,316
0,32;-9,307
0,32;-9,291
0,32;-9,262
0,32;-9,230
0,32;-9,220
0,32;-9,225
0,32;-9,227
0,32;-9,225
0,32;-9,232
0,32;-9,225
0,32;-9,203
0,32;-9,187
0,32;-9,177
0,32;-9,164
0,32;-9,159
0,32;-9,161
0,32;-9,159
0,32;-9,166
0,32;-9,189
0,32;-9,203
0,32;-9,209
0,32;-9,220
0,32;-9,243
0,32;-9,279
0,32;-9,325
0,32;-9,377
0,32;-9,393
0,32;-9,384
0,32;-9,406
0,32;-9,413
0,32;-9,400
0,32;-9,379
0,32;-9,352
0,32;-9,327
0,32;-9,296
0,32;-9,270
0,32;-9,248
0,32;-9,237
0,32;-9,232
0,32;-9,232
0,32;-9,243
0,32;-9,241
0,32;-9,230
0,32;-9,193
0,32;-9,177
0,32;-9,187
0,32;-9,191
0,32;-9,196
0,32;-9,195
0,32;-9,198
0,32;-9,193
0,32;-9,186
0,32;-9,178
0,32;-9,189
0,32;-9,207
0,32;-9,225
0,32;-9,239
0,32;-9,239
0,32;-9,246
0,32;-9,241
0,32;-9,225
0,32;-9,223
0,32;-9,216
0,32;-9,234
0,32;-9,252
0,32;-9,279
0,32;-9,323
0,32;-9,361
0,32;-9,400
0,32;-9,422
0,32;-9,418
0,32;-9,425
0,32;-9,425
0,32;-9,415
0,32;-9,406
0,32;-9,377
0,32;-9,343
0,32;-9,327
0,32;-9,314
0,32;-9,300
0,32;-9,279
0,32;-9,236
0,32;-9,187
0,32;-9,177
0,32;-9,166
0,32;-9,162
0,32;-9,168
0,32;-9,166
0,32;-9,178
0,32;-9,205
0,32;-9,234
0,32;-9,259
0,32;-9,275
0,32;-9,295
0,32;-9,325
0,32;-9,354
0,32;-9,372
0,32;-9,384
0,32;-9,402
0,32;-9,402
0,32;-9,406
0,32;-9,415
0,32;-9,398
0,32;-9,388
0,32;-9,372
0,32;-9,372
0,32;-9,366
0,32;-9,352
0,32;-9,354
0,32;-9,381
0,32;-9,425
0,32;-9,456
0,32;-9,445
0,32;-9,445
0,32;-9,420
0,32;-9,391
0,32;-9,372
0,32;-9,354
0,32;-9,341
0,32;-9,334
0,32;-9,320
0,32;-9,289
0,32;-9,261
0,32;-9,252
0,32;-9,241
0,32;-9,237
0,32;-9,246
0,32;-9,248
0,32;-9,237
0,32;-9,220
0,32;-9,211
0,32;-9,216
0,32;-9,216
0,32;-9,207
0,32;-9,209
0,32;-9,209
0,32;-9,202
0,32;-9,191
0,32;-9,189
0,32;-9,193
0,32;-9,195
0,32;-9,202
0,32;-9,205
0,32;-9,203
0,32;-9,205
0,32;-9,205
0,32;-9,214
0,32;-9,220
0,32;-9,232
0,32;-9,245
0,32;-9,250
0,32;-9,250
0,32;-9,246
0,32;-9,230
0,32;-9,209
0,32;-9,184
0,32;-9,141
0,32;-9,105
0,32;-9,080
0,32;-9,162
0,32;-9,121
0,32;-9,103
0,32;-9,089
0,32;-9,136
0,32;-9,146
0,32;-9,143
0,32;-9,155
0,32;-9,178
0,32;-9,193
0,32;-9,211
0,32;-9,225
0,32;-9,237
0,32;-9,255
0,32;-9,279
0,32;-9,302
0,32;-9,322
0,32;-9,320
0,32;-9,320
0,32;-9,316
0,32;-9,304
0,32;-9,291
0,32;-9,261
0,32;-9,239
0,32;-9,205
0,32;-9,169
0,32;-9,139
0,32;-9,130
0,32;-9,128
0,32;-9,112
0,32;-9,114
0,32;-9,116
0,32;-9,116
0,32;-9,112
0,32;-9,119
0,32;-9,119
0,32;-9,100
0,32;-9,085
0,32;-9,100
0,32;-9,130
0,32;-9,150
0,32;-9,169
0,32;-9,175
0,32;-9,186
0,32;-9,189
0,32;-9,186
0,32;-9,195
0,32;-9,203
0,32;-9,205
0,32;-9,211
0,32;-9,225
0,32;-9,248
0,32;-9,273
0,32;-9,305
0,32;-9,318
0,32;-9,325
0,32;-9,322
0,32;-9,327
0,32;-9,334
0,32;-9,339
0,32;-9,361
0,32;-9,364
0,32;-9,354
0,32;-9,348
0,32;-9,332
0,32;-9,320
0,32;-9,304
0,32;-9,288
0,32;-9,277
0,32;-9,268
0,32;-9,259
0,32;-9,250
0,32;-9,245
0,32;-9,230
0,32;-9,229
0,32;-9,236
0,32;-9,245
0,32;-9,255
0,32;-9,266
0,32;-9,273
0,32;-9,280
0,32;-9,289
0,32;-9,314
0,32;-9,343
0,32;-9,350
0,32;-9,334
0,32;-9,318
0,32;-9,309
0,32;-9,295
0,32;-9,270
0,32;-9,243
0,32;-9,223
0,32;-9,212
0,32;-9,202
0,32;-9,191
0,32;-9,182
0,32;-9,175
0,32;-9,162
0,32;-9,150
0,32;-9,137
0,32;-9,136
0,32;-9,143
0,32;-9,143
0,32;-9,143
0,32;-9,132
0,32;-9,134
0,32;-9,141
0,32;-9,143
0,32;-9,144
0,32;-9,139
0,32;-9,136
0,32;-9,127
0,32;-9,127
0,32;-9,118
0,32;-9,121
0,32;-9,127
0,32;-9,130
0,32;-9,130
0,32;-9,128
0,32;-9,134
0,32;-9,139
0,32;-9,136
0,32;-9,132
0,32;-9,132
0,32;-9,134
0,32;-9,128
0,32;-9,130
0,32;-9,123
0,32;-9,107
0,32;-9,098
0,32;-9,093
0,32;-9,102
0,32;-9,091
0,32;-9,087
0,32;-9,093
0,32;-9,105
0,32;-9,121
0,32;-9,134
0,32;-9,141
0,32;-9,152
0,32;-9,155
0,32;-9,166
0,32;-9,164
0,32;-9,168
0,32;-9,166
0,32;-9,157
0,32;-9,162
0,32;-9,155
0,32;-9,152
0,32;-9,143
0,32;-9,137
0,32;-9,128
0,32;-9,125
0,32;-9,119
0,32;-9,118
0,32;-9,123
0,32;-9,123
0,32;-9,121
0,32;-9,119
0,32;-9,130
0,32;-9,137
0,32;-9,153
0,32;-9,178
0,32;-9,195
0,32;-9,207
0,32;-9,207
0,32;-9,191
0,32;-9,168
0,32;-9,150
0,32;-9,130
0,32;-9,112
0,32;-9,087
0,32;-9,073
0,32;-9,078
0,32;-9,077
0,32;-9,071
0,32;-9,069
0,32;-9,091
0,32;-9,103
0,32;-9,094
0,32;-9,085
0,32;-9,087
0,32;-9,082
0,32;-9,091
0,32;-9,087
0,32;-9,089
0,32;-9,091
0,32;-9,096
0,32;-9,096
0,32;-9,100
0,32;-9,100
0,32;-9,098
0,32;-9,094
0,32;-9,102
0,32;-9,105
0,32;-9,110
0,32;-9,114
0,32;-9,121
0,32;-9,121
0,32;-9,125
0,32;-9,123
0,32;-9,119
0,32;-9,119
0,32;-9,118
0,32;-9,118
0,32;-9,121
0,32;-9,123
0,32;-9,121
0,32;-9,112
0,32;-9,105
0,32;-9,091
0,32;-9,080
0,32;-9,073
0,32;-9,078
0,32;-9,080
0,32;-9,087
0,32;-9,093
0,32;-9,094
0,32;-9,098
0,32;-9,103
0,32;-9,109
0,32;-9,107
0,32;-9,114
0,32;-9,114
0,32;-9,121
0,32;-9,125
0,32;-9,130
0,32;-9,130
0,32;-9,128
0,32;-9,123
0,32;-9,130
0,32;-9,146
0,32;-9,173
0,32;-9,198
0,32;-9,205
0,32;-9,203
0,32;-9,195
0,32;-9,177
0,32;-9,166
0,32;-9,157
0,32;-9,152
0,32;-9,141
0,32;-9,143
0,32;-9,137
0,32;-9,132
0,32;-9,121
0,32;-9,112
0,32;-9,110
0,32;-9,112
0,32;-9,116
0,32;-9,109
0,32;-9,103
0,32;-9,096
0,32;-9,089
0,32;-9,085
0,32;-9,084
0,32;-9,087
0,32;-9,103
0,32;-9,112
0,32;-9,130
0,32;-9,159
0,32;-9,177
0,32;-9,180
0,32;-9,169
0,32;-9,148
0,32;-9,114
0,32;-9,085
0,32;-9,075
0,32;-9,064
0,32;-9,080
0,32;-9,077
0,32;-9,078
0,32;-9,080
0,32;-9,080
0,32;-9,078
0,32;-9,077
0,32;-9,068
0,32;-9,064
0,32;-9,060
0,32;-9,071
0,32;-9,085
0,32;-9,091
0,32;-9,089
0,32;-9,094
0,32;-9,094
0,32;-9,091
0,32;-9,091
0,32;-9,089
0,32;-9,091
0,32;-9,089
0,32;-9,089
0,32;-9,098
0,32;-9,107
0,32;-9,112
0,32;-9,105
0,32;-9,110
0,32;-9,103
0,32;-9,096
0,32;-9,084
0,32;-9,073
0,32;-9,080
0,32;-9,093
0,32;-9,109
0,32;-9,121
0,32;-9,134
0,32;-9,144
0,32;-9,144
0,32;-9,130
0,32;-9,119
0,32;-9,118
0,32;-9,118
0,32;-9,112
0,32;-9,107
0,32;-9,112
0,32;-9,139
0,32;-9,175
0,32;-9,202
0,32;-9,225
0,32;-9,236
0,32;-9,241
0,32;-9,236
0,32;-9,234
0,32;-9,221
0,32;-9,212
0,32;-9,195
0,32;-9,173
0,32;-9,171
0,32;-9,196
0,32;-9,230
0,32;-9,257
0,32;-9,277
0,32;-9,280
0,32;-9,264
0,32;-9,248
0,32;-9,234
0,32;-9,214
0,32;-9,205
0,32;-9,214
0,32;-9,220
0,32;-9,229
0,32;-9,243
0,32;-9,250
0,32;-9,239
0,32;-9,214
0,32;-9,180
0,32;-9,152
0,32;-9,114
0,32;-9,069
0,32;-9,028
0,32;-9,023
0,32;-9,044
0,32;-9,059
0,32;-9,048
0,32;-9,048
0,32;-9,048
0,32;-9,059
0,32;-9,075
0,32;-9,096
0,32;-9,098
0,32;-9,100
0,32;-9,093
0,32;-9,075
0,32;-9,068
0,32;-9,066
0,32;-9,073
0,32;-9,084
0,32;-9,089
0,32;-9,093
0,32;-9,093
0,32;-9,073
0,32;-9,037
0,32;-9,025
0,32;-9,034
0,32;-9,034
0,32;-9,028
0,32;-9,030
0,32;-9,030
0,32;-9,034
0,32;-9,043
0,32;-9,039
0,32;-9,030
0,32;-9,026
0,32;-9,032
0,32;-9,032
0,32;-9,030
0,32;-9,028
0,32;-9,026
0,32;-9,030
0,32;-9,032
0,32;-9,023
0,32;-9,016
0,32;-9,012
0,32;-9,010
0,32;-9,034
0,32;-9,041
0,32;-9,034
0,32;-9,041
0,32;-9,041
0,32;-9,041
0,32;-9,039
0,32;-9,043
0,32;-9,053
0,32;-9,062
0,32;-9,064
0,32;-9,066
0,32;-9,073
0,32;-9,069
0,32;-9,062
0,32;-9,053
0,32;-9,048
0,32;-9,039
0,32;-9,037
0,32;-9,034
0,32;-9,030
0,32;-9,025
0,32;-9,025
0,32;-9,025
0,32;-9,021
0,32;-9,019
0,32;-9,019
0,32;-9,025
0,32;-9,030
0,32;-9,035
0,32;-9,035
0,32;-9,039
0,32;-9,053
0,32;-9,075
0,32;-9,107
0,32;-9,143
0,32;-9,168
0,32;-9,191
0,32;-9,189
0,32;-9,169
0,32;-9,144
0,32;-9,112
0,32;-9,087
0,32;-9,084
0,32;-9,075
0,32;-9,059
0,32;-9,044
0,32;-9,023
0,32;-9,000
0,32;-8,989
0,32;-9,003
0,32;-9,014
0,32;-9,026
0,32;-9,037
0,32;-9,041
0,32;-9,046
0,32;-9,057
0,32;-9,068
0,32;-9,071
0,32;-9,073
0,32;-9,080
0,32;-9,084
0,32;-9,093
0,32;-9,091
0,32;-9,094
0,32;-9,094
0,32;-9,098
0,32;-9,094
0,32;-9,093
0,32;-9,103
0,32;-9,107
0,32;-9,119
0,32;-9,125
0,32;-9,127
0,32;-9,130
0,32;-9,130
0,32;-9,123
0,32;-9,116
0,32;-9,109
0,32;-9,105
0,32;-9,109
0,32;-9,112
0,32;-9,121
0,32;-9,119
0,32;-9,123
0,32;-9,123
0,32;-9,118
0,32;-9,112
0,32;-9,109
0,32;-9,112
0,32;-9,116
0,32;-9,119
0,32;-9,123
0,32;-9,125
0,32;-9,130
0,32;-9,125
0,32;-9,116
0,32;-9,107
0,32;-9,110
0,32;-9,112
0,32;-9,121
0,32;-9,148
0,32;-9,171
0,32;-9,196
0,32;-9,214
0,32;-9,230
0,32;-9,237
0,32;-9,236
0,32;-9,236
0,32;-9,221
0,32;-9,211
0,32;-9,200
0,32;-9,191
0,32;-9,186
0,32;-9,182
0,32;-9,182
0,32;-9,180
0,32;-9,175
0,32;-9,175
0,32;-9,175
0,32;-9,184
0,32;-9,196
0,32;-9,207
0,32;-9,202
0,32;-9,189
0,32;-9,171
0,32;-9,164
0,32;-9,168
0,32;-9,189
0,32;-9,216
0,32;-9,223
0,32;-9,216
0,32;-9,198
0,32;-9,166
0,32;-9,127
0,32;-9,084
0,32;-9,068
0,32;-9,059
0,32;-9,060
0,32;-9,068
0,32;-9,064
0,32;-9,060
0,32;-9,068
0,32;-9,078
0,32;-9,084
0,32;-9,091
0,32;-9,107
0,32;-9,157
0,32;-9,221
0,32;-9,277
0,32;-9,305
0,32;-9,313
0,32;-9,345
0,32;-9,361
0,32;-9,382
0,32;-9,389
0,32;-9,398
0,32;-9,406
0,32;-9,413
0,32;-9,423
0,32;-9,416
0,32;-9,409
0,32;-9,416
0,32;-9,429
0,32;-9,422
0,32;-9,386
0,32;-9,355
0,32;-9,327
0,32;-9,286
0,32;-9,232
0,32;-9,216
0,32;-9,180
0,32;-9,155
0,32;-9,123
0,32;-9,089
0,32;-9,073
0,32;-9,080
0,32;-9,077
0,32;-9,084
0,32;-9,103
0,32;-9,098
0,32;-9,098
0,32;-9,096
0,32;-9,094
0,32;-9,103
0,32;-9,118
0,32;-9,144
0,32;-9,186
0,32;-9,246
0,32;-9,273
0,32;-9,259
0,32;-9,236
0,32;-9,209
0,32;-9,186
0,32;-9,169
0,32;-9,173
0,32;-9,171
0,32;-9,155
0,32;-9,152
0,32;-9,137
0,32;-9,134
0,32;-9,130
0,32;-9,128
0,32;-9,121
0,32;-9,128
0,32;-9,141
0,32;-9,148
0,32;-9,148
0,32;-9,141
0,32;-9,148
0,32;-9,162
0,32;-9,182
0,32;-9,198
0,32;-9,223
0,32;-9,241
0,32;-9,268
0,32;-9,302
0,32;-9,314
0,32;-9,311
0,32;-9,332
0,32;-9,322
0,32;-9,300
0,32;-9,279
0,32;-9,264
0,32;-9,266
0,32;-9,270
0,32;-9,254
0,32;-9,250
0,32;-9,252
0,32;-9,266
0,32;-9,295
0,32;-9,318
0,32;-9,332
0,32;-9,338
0,32;-9,341
0,32;-9,345
0,32;-9,347
0,32;-9,343
0,32;-9,357
0,32;-9,368
0,32;-9,364
0,32;-9,366
0,32;-9,364
0,32;-9,366
0,32;-9,375
0,32;-9,391
0,32;-9,393
0,32;-9,386
0,32;-9,400
0,32;-9,411
0,32;-9,398
0,32;-9,386
0,32;-9,370
0,32;-9,359
0,32;-9,347
0,32;-9,343
0,32;-9,341
0,32;-9,339
0,32;-9,352
0,32;-9,366
0,32;-9,400
0,32;-9,431
0,32;-9,415
0,32;-9,379
0,32;-9,411
0,32;-9,445
0,32;-9,418
0,32;-9,388
0,32;-9,402
0,32;-9,407
0,32;-9,418
0,32;-9,420
0,32;-9,409
0,32;-9,409
0,32;-9,389
0,32;-9,370
0,32;-9,364
0,32;-9,363
0,32;-9,352
0,32;-9,341
0,32;-9,327
0,32;-9,309
0,32;-9,300
0,32;-9,291
0,32;-9,298
0,32;-9,311
0,32;-9,295
0,32;-9,286
0,32;-9,295
0,32;-9,304
0,32;-9,307
0,32;-9,284
0,32;-9,259
0,32;-9,241
0,32;-9,229
0,32;-9,207
0,32;-9,187
0,32;-9,178
0,32;-9,171
0,32;-9,173
0,32;-9,186
0,32;-9,211
0,32;-9,230
0,32;-9,259
0,32;-9,293
0,32;-9,343
0,32;-9,406
0,32;-9,499
0,32;-9,457
0,32;-9,474
0,32;-9,470
0,32;-9,490
0,32;-9,479
0,32;-9,461
0,32;-9,466
0,32;-9,456
0,32;-9,420
0,32;-9,373
0,32;-9,343
0,32;-9,325
0,32;-9,307
0,32;-9,280
0,32;-9,270
0,32;-9,229
0,32;-9,202
0,32;-9,171
0,32;-9,169
0,32;-9,159
0,32;-9,175
0,32;-9,171
0,32;-9,148
0,32;-9,118
0,32;-9,107
0,32;-9,116
0,32;-9,125
0,32;-9,107
0,32;-9,098
0,32;-9,100
0,32;-9,100
0,32;-9,094
0,32;-9,094
0,32;-9,110
0,32;-9,136
0,32;-9,164
0,32;-9,216
0,32;-9,257
0,32;-9,279
0,32;-9,284
0,32;-9,291
0,32;-9,296
0,32;-9,302
0,32;-9,302
0,32;-9,307
0,32;-9,323
0,32;-9,323
0,32;-9,325
0,32;-9,329
0,32;-9,320
0,32;-9,298
